AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
159715,http://www.marinespecies.org/aphia.php?p=taxdetails&id=159715,Paratenuisentis ambiguus,"(Van Cleave, 1921) Bullock & Samuel, 1975",accepted,NA,220,Species,159715,Paratenuisentis ambiguus,"(Van Cleave, 1921) Bullock & Samuel, 1975",159711,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Tenuisentidae,Paratenuisentis,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Paratenuisentis ambiguus (Van Cleave, 1921) Bullock & Samuel, 1975. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159715 on 2021-07-16",urn:lsid:marinespecies.org:taxname:159715,1,NA,1,NA,NA,exact,2020-01-10T12:27:46.763Z
448698,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448698,Bolborhynchoides exiguus,"(Achmerow & Dombrowskaja-Achmerova, 1941) Achmerov & Dombrovskaja, 1959",accepted,NA,220,Species,448698,Bolborhynchoides exiguus,"(Achmerow & Dombrowskaja-Achmerova, 1941) Achmerov & Dombrovskaja, 1959",448577,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Arhythmacanthidae,Bolborhynchoides,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Bolborhynchoides exiguus (Achmerow & Dombrowskaja-Achmerova, 1941) Achmerov & Dombrovskaja, 1959. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448698 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448698,NA,1,1,NA,NA,exact,2020-06-11T12:32:47.063Z
419300,http://www.marinespecies.org/aphia.php?p=taxdetails&id=419300,Caballerorhynchus lamothei,"Salgado-Maldonado, 1977",accepted,NA,220,Species,419300,Caballerorhynchus lamothei,"Salgado-Maldonado, 1977",415141,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Caballerorhynchus,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Caballerorhynchus lamothei Salgado-Maldonado, 1977. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=419300 on 2021-07-16",urn:lsid:marinespecies.org:taxname:419300,1,1,NA,NA,NA,exact,2010-01-26T06:51:47.537Z
1322523,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1322523,Cavisoma chromitidis,"Cable & Quick, 1954",unaccepted,Superseded combination,220,Species,826536,Pseudocavisoma chromitidis,"(Cable & Quick, 1954) Golvan & Houin, 1964",448563,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Cavisoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Cavisoma chromitidis Cable & Quick, 1954. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1322523 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1322523,1,NA,NA,NA,NA,exact,2019-02-08T16:30:30.970Z
1061522,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1061522,Cavisoma magnum,"(Southwell, 1927) Van Cleave, 1931",accepted,NA,220,Species,1061522,Cavisoma magnum,"(Southwell, 1927) Van Cleave, 1931",448563,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Cavisoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Cavisoma magnum (Southwell, 1927) Van Cleave, 1931. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1061522 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1061522,1,NA,1,NA,NA,exact,2020-03-18T19:22:08.770Z
448646,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448646,Cavisoma magnus,"(Southwell, 1927) Van Cleave, 1931",unaccepted,Malformed suffix,220,Species,1061522,Cavisoma magnum,"(Southwell, 1927) Van Cleave, 1931",448563,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Cavisoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Cavisoma magnus (Southwell, 1927) Van Cleave, 1931. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448646 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448646,1,NA,NA,NA,NA,exact,2018-02-24T16:16:55.573Z
448647,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448647,Femogibbosus assi,"Paruchin, 1973",accepted,NA,220,Species,448647,Femogibbosus assi,"Paruchin, 1973",448564,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Femogibbosus,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Femogibbosus assi Paruchin, 1973. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448647 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448647,1,NA,NA,NA,NA,exact,2010-01-26T09:23:44.957Z
448648,http://www.marinespecies.org/aphia.php?p=taxdetails&id=448648,Filisoma acanthocybii,"Wang, Wang & Wu, 1993",accepted,NA,220,Species,448648,Filisoma acanthocybii,"Wang, Wang & Wu, 1993",415390,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Filisoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Filisoma acanthocybii Wang, Wang & Wu, 1993. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=448648 on 2021-07-16",urn:lsid:marinespecies.org:taxname:448648,1,NA,NA,NA,NA,exact,2010-01-26T09:23:44.957Z
1516916,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1516916,Filisoma argusum,"Kaur, Shamal, Chandran, Sharma & Sanil, 2021",accepted,NA,220,Species,1516916,Filisoma argusum,"Kaur, Shamal, Chandran, Sharma & Sanil, 2021",415390,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Filisoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Filisoma argusum Kaur, Shamal, Chandran, Sharma & Sanil, 2021. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1516916 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1516916,1,1,NA,NA,NA,exact,2021-06-25T14:47:46.280Z
1424169,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1424169,Filisoma atropi,"Wang & Wang, 1988",accepted,NA,220,Species,1424169,Filisoma atropi,"Wang & Wang, 1988",415390,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomatidae,Filisoma,"Gibson, D.; Wayland, M. (2021). World List of marine Acanthocephala. Filisoma atropi Wang & Wang, 1988. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1424169 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1424169,1,NA,NA,NA,NA,exact,2020-03-05T16:36:36.910Z
