AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
731248,http://www.marinespecies.org/aphia.php?p=taxdetails&id=731248,Cephalorhyncha asiatica,"(Adrianov, 1989)",accepted,NA,220,Species,731248,Cephalorhyncha asiatica,"(Adrianov, 1989)",474826,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Cephalorhyncha,"Neuhaus, B. (2021). World Kinorhyncha Database. Cephalorhyncha asiatica (Adrianov, 1989). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=731248 on 2021-07-16",urn:lsid:marinespecies.org:taxname:731248,1,NA,NA,NA,NA,exact,2013-05-30T10:32:22.910Z
1433183,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433183,Cephalorhyncha flosculosa,"Yildiz, Sørensen & Karaytuğ, 2016",accepted,NA,220,Species,1433183,Cephalorhyncha flosculosa,"Yildiz, Sørensen & Karaytuğ, 2016",474826,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Cephalorhyncha,"Neuhaus, B. (2021). World Kinorhyncha Database. Cephalorhyncha flosculosa Yildiz, Sørensen & Karaytuğ, 2016. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433183 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1433183,1,NA,NA,NA,NA,exact,2020-05-27T11:21:56.060Z
474827,http://www.marinespecies.org/aphia.php?p=taxdetails&id=474827,Cephalorhyncha liticola,"Sørensen, 2008",accepted,NA,220,Species,474827,Cephalorhyncha liticola,"Sørensen, 2008",474826,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Cephalorhyncha,"Neuhaus, B. (2021). World Kinorhyncha Database. Cephalorhyncha liticola Sørensen, 2008. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=474827 on 2021-07-16",urn:lsid:marinespecies.org:taxname:474827,1,NA,NA,NA,NA,exact,2013-06-03T07:49:47.583Z
731324,http://www.marinespecies.org/aphia.php?p=taxdetails&id=731324,Cephalorhyncha nybakkeni,"(Higgins, 1986)",accepted,NA,220,Species,731324,Cephalorhyncha nybakkeni,"(Higgins, 1986)",474826,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Cephalorhyncha,"Neuhaus, B. (2021). World Kinorhyncha Database. Cephalorhyncha nybakkeni (Higgins, 1986). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=731324 on 2021-07-16",urn:lsid:marinespecies.org:taxname:731324,1,NA,NA,NA,NA,exact,2013-05-31T11:22:29.693Z
1433133,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433133,Cephalorhyncha polunga,"Sánchez, Pardos & Martínez Arbizu, 2019",accepted,NA,220,Species,1433133,Cephalorhyncha polunga,"Sánchez, Pardos & Martínez Arbizu, 2019",474826,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Cephalorhyncha,"Neuhaus, B. (2021). World Kinorhyncha Database. Cephalorhyncha polunga Sánchez, Pardos & Martínez Arbizu, 2019. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433133 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1433133,1,NA,NA,NA,NA,exact,2020-04-22T07:06:17.823Z
1433084,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433084,Cephalorhyncha teresae,"Cepeda, Álvarez-Castillo, Hermoso-Salazar, Sánchez, Gómez & Pardos, 2019",accepted,NA,220,Species,1433084,Cephalorhyncha teresae,"Cepeda, Álvarez-Castillo, Hermoso-Salazar, Sánchez, Gómez & Pardos, 2019",474826,Animalia,Kinorhyncha,Cyclorhagida,Echinorhagata,Echinoderidae,Cephalorhyncha,"Neuhaus, B. (2021). World Kinorhyncha Database. Cephalorhyncha teresae Cepeda, Álvarez-Castillo, Hermoso-Salazar, Sánchez, Gómez & Pardos, 2019. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433084 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1433084,1,NA,NA,NA,NA,exact,2020-10-14T16:37:26.190Z
731336,http://www.marinespecies.org/aphia.php?p=taxdetails&id=731336,Tubulideres seminoli,"Sørensen, Heiner, Ziemer & Neuhaus, 2007",accepted,NA,220,Species,731336,Tubulideres seminoli,"Sørensen, Heiner, Ziemer & Neuhaus, 2007",731241,Animalia,Kinorhyncha,Cyclorhagida,Kentrorhagata,Cyclorhagida incertae sedis,Tubulideres,"Neuhaus, B. (2021). World Kinorhyncha Database. Tubulideres seminoli Sørensen, Heiner, Ziemer & Neuhaus, 2007. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=731336 on 2021-07-16",urn:lsid:marinespecies.org:taxname:731336,1,NA,NA,NA,NA,exact,2013-05-31T11:22:29.693Z
731316,http://www.marinespecies.org/aphia.php?p=taxdetails&id=731316,Wollunquaderes majkenae,"Sørensen & Thormar, 2010",accepted,NA,220,Species,731316,Wollunquaderes majkenae,"Sørensen & Thormar, 2010",731242,Animalia,Kinorhyncha,Cyclorhagida,Kentrorhagata,Cyclorhagida incertae sedis,Wollunquaderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Wollunquaderes majkenae Sørensen & Thormar, 2010. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=731316 on 2021-07-16",urn:lsid:marinespecies.org:taxname:731316,1,NA,NA,NA,NA,exact,2013-05-31T11:22:29.693Z
1432925,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1432925,Antygomonas caeciliae,"Dal Zotto, 2015",accepted,NA,220,Species,1432925,Antygomonas caeciliae,"Dal Zotto, 2015",101080,Animalia,Kinorhyncha,Cyclorhagida,Kentrorhagata,Antygomonidae,Antygomonas,"Neuhaus, B. (2021). World Kinorhyncha Database. Antygomonas caeciliae Dal Zotto, 2015. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1432925 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1432925,1,NA,NA,NA,NA,exact,2020-04-24T08:25:44.987Z
1433092,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433092,Antygomonas gwenae,"Herranz, Sánchez, Pardos & Higgins, 2014",accepted,NA,220,Species,1433092,Antygomonas gwenae,"Herranz, Sánchez, Pardos & Higgins, 2014",101080,Animalia,Kinorhyncha,Cyclorhagida,Kentrorhagata,Antygomonidae,Antygomonas,"Neuhaus, B. (2021). World Kinorhyncha Database. Antygomonas gwenae Herranz, Sánchez, Pardos & Higgins, 2014. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433092 on 2021-07-16",urn:lsid:marinespecies.org:taxname:1433092,1,NA,NA,NA,NA,exact,2020-04-22T07:06:17.823Z
