AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
266734,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266734,Bathybelos typhlops,"Owre, 1973",accepted,NA,220,Species,266734,Bathybelos typhlops,"Owre, 1973",264897,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Bathybelidae,Bathybelos,"WoRMS (2021). Bathybelos typhlops Owre, 1973. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266734 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266734,1,0,0,0,NA,exact,2008-07-24T12:31:07.690Z
362614,http://www.marinespecies.org/aphia.php?p=taxdetails&id=362614,Krohnitta balagopali,"Nair, Panampunnayil, Pillai & Gireesh, 2008",accepted,NA,220,Species,362614,Krohnitta balagopali,"Nair, Panampunnayil, Pillai & Gireesh, 2008",105402,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta,"WoRMS (2021). Krohnitta balagopali Nair, Panampunnayil, Pillai & Gireesh, 2008. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=362614 on 2021-07-16",urn:lsid:marinespecies.org:taxname:362614,1,0,0,0,NA,exact,2009-06-30T14:17:41.027Z
266239,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266239,Krohnitta mutabbii,"Alvariño, 1969",unaccepted,NA,220,Species,105428,Krohnitta pacifica,"(Aida, 1897)",105402,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta,"WoRMS (2021). Krohnitta mutabbii Alvariño, 1969. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266239 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266239,1,0,0,0,NA,exact,2009-06-30T14:17:41.027Z
105428,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105428,Krohnitta pacifica,"(Aida, 1897)",accepted,NA,220,Species,105428,Krohnitta pacifica,"(Aida, 1897)",105402,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta,"WoRMS (2021). Krohnitta pacifica (Aida, 1897). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105428 on 2021-07-16",urn:lsid:marinespecies.org:taxname:105428,1,0,0,0,NA,exact,2009-06-29T14:39:27.833Z
105429,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105429,Krohnitta subtilis,"(Grassi, 1881)",accepted,NA,220,Species,105429,Krohnitta subtilis,"(Grassi, 1881)",105402,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta,"WoRMS (2021). Krohnitta subtilis (Grassi, 1881). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105429 on 2021-07-16",urn:lsid:marinespecies.org:taxname:105429,1,0,0,0,NA,exact,2009-06-30T14:17:41.027Z
266845,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266845,Pterokrohnia arabica,"Srinavasan, 1986",accepted,NA,220,Species,266845,Pterokrohnia arabica,"Srinavasan, 1986",264933,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Pterokrohniidae,Pterokrohnia,"WoRMS (2021). Pterokrohnia arabica Srinavasan, 1986. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266845 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266845,1,0,0,0,NA,exact,2009-06-29T14:39:27.833Z
105430,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105430,Pterosagitta draco,"(Krohn, 1853)",accepted,NA,220,Species,105430,Pterosagitta draco,"(Krohn, 1853)",105403,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Pterosagittidae,Pterosagitta,"WoRMS (2021). Pterosagitta draco (Krohn, 1853). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105430 on 2021-07-16",urn:lsid:marinespecies.org:taxname:105430,1,0,0,0,NA,exact,2009-06-26T13:44:09.730Z
266685,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266685,Abosagitta grata,"Kasatkina, 2006",nomen dubium,Description inadequate to distinguish from other known chaetognath species.,220,Species,266685,Abosagitta grata,"Kasatkina, 2006",264886,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Abosagitta,"WoRMS (2021). Abosagitta grata Kasatkina, 2006. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266685 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266685,1,0,0,0,NA,exact,2009-07-17T15:23:34.130Z
266686,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266686,Abosagitta macra,"Kasatkina, 2006",nomen dubium,Description inadequate to distinguish from other known chaetognath species.,220,Species,266686,Abosagitta macra,"Kasatkina, 2006",264886,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Abosagitta,"WoRMS (2021). Abosagitta macra Kasatkina, 2006. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266686 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266686,1,0,0,0,NA,exact,2009-07-17T15:23:34.130Z
266687,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266687,Abosagitta rasilis,"Kasatkina, 2006",nomen dubium,Description inadequate to distinguish from other known chaetognath species.,220,Species,266687,Abosagitta rasilis,"Kasatkina, 2006",264886,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Abosagitta,"WoRMS (2021). Abosagitta rasilis Kasatkina, 2006. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266687 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266687,1,0,0,0,NA,exact,2009-07-17T15:23:34.130Z
266688,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266688,Abosagitta taeniata,"Kasatkina, 2006",nomen dubium,Description inadequate to distinguish from other known chaetognath species.,220,Species,266688,Abosagitta taeniata,"Kasatkina, 2006",264886,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Abosagitta,"WoRMS (2021). Abosagitta taeniata Kasatkina, 2006. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266688 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266688,1,0,0,0,NA,exact,2009-07-17T15:23:34.130Z
406020,http://www.marinespecies.org/aphia.php?p=taxdetails&id=406020,Aidanosagitta acinacis,"Kasatkina, 2008",nomen dubium,Description inadequate to distinguish from other known chaetognath species.,220,Species,406020,Aidanosagitta acinacis,"Kasatkina, 2008",264890,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,"WoRMS (2021). Aidanosagitta acinacis Kasatkina, 2008. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=406020 on 2021-07-16",urn:lsid:marinespecies.org:taxname:406020,1,0,0,0,NA,exact,2009-07-17T15:23:34.130Z
266696,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266696,Aidanosagitta acus,"Kasatkina & Selivanova, 2003",nomen dubium,Description inadequate to distinguish from other known chaetognath species.,220,Species,266696,Aidanosagitta acus,"Kasatkina & Selivanova, 2003",264890,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,"WoRMS (2021). Aidanosagitta acus Kasatkina & Selivanova, 2003. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266696 on 2021-07-16",urn:lsid:marinespecies.org:taxname:266696,1,0,0,0,NA,exact,2009-07-17T15:23:34.130Z
