AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
867244,http://www.marinespecies.org/aphia.php?p=taxdetails&id=867244,Stromatoveris psygmoglena,"Shu, 2006",accepted,NA,220,Species,867244,Stromatoveris psygmoglena,"Shu, 2006",867243,Animalia,Ctenophora,Ctenophora incertae sedis,NA,NA,Stromatoveris,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Stromatoveris psygmoglena Shu, 2006&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=867244 on 2021-07-28",urn:lsid:marinespecies.org:taxname:867244,1,NA,NA,NA,1,exact,2016-01-07T07:43:33.027Z
867246,http://www.marinespecies.org/aphia.php?p=taxdetails&id=867246,Trigoides aclis,"Luo & Hu, 1999",accepted,NA,220,Species,867246,Trigoides aclis,"Luo & Hu, 1999",867245,Animalia,Ctenophora,Ctenophora incertae sedis,NA,NA,Trigoides,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Trigoides aclis Luo & Hu, 1999&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=867246 on 2021-07-28",urn:lsid:marinespecies.org:taxname:867246,1,NA,NA,NA,1,exact,2016-01-07T07:43:33.027Z
867242,http://www.marinespecies.org/aphia.php?p=taxdetails&id=867242,Batofasciculus ramificans,"Hou, Bergstöm, Wang, Feng & Chen, 1999",accepted,NA,220,Species,867242,Batofasciculus ramificans,"Hou, Bergstöm, Wang, Feng & Chen, 1999",867241,Animalia,Ctenophora,Scleroctenophora,NA,NA,Batofasciculus,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Batofasciculus ramificans Hou, Bergstöm, Wang, Feng & Chen, 1999&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=867242 on 2021-07-28",urn:lsid:marinespecies.org:taxname:867242,1,NA,NA,NA,1,exact,2016-01-07T07:43:33.027Z
867240,http://www.marinespecies.org/aphia.php?p=taxdetails&id=867240,Galeactena hemispherica,"Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015",accepted,NA,220,Species,867240,Galeactena hemispherica,"Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015",867239,Animalia,Ctenophora,Scleroctenophora,NA,NA,Galeactena,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Galeactena hemispherica Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=867240 on 2021-07-28",urn:lsid:marinespecies.org:taxname:867240,1,NA,NA,NA,1,exact,2016-01-07T07:43:33.027Z
867236,http://www.marinespecies.org/aphia.php?p=taxdetails&id=867236,Gemmactena actinala,"Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015",accepted,NA,220,Species,867236,Gemmactena actinala,"Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015",867235,Animalia,Ctenophora,Scleroctenophora,NA,NA,Gemmactena,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Gemmactena actinala Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=867236 on 2021-07-28",urn:lsid:marinespecies.org:taxname:867236,1,NA,NA,NA,1,exact,2016-01-07T07:43:33.027Z
867238,http://www.marinespecies.org/aphia.php?p=taxdetails&id=867238,Thaumactena ensis,"Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015",accepted,NA,220,Species,867238,Thaumactena ensis,"Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015",867237,Animalia,Ctenophora,Scleroctenophora,NA,NA,Thaumactena,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Thaumactena ensis Ou, Xiao, Han, Sun, Zhang, Zhang & Shu, 2015&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=867238 on 2021-07-28",urn:lsid:marinespecies.org:taxname:867238,1,NA,NA,NA,1,exact,2016-01-07T07:43:33.027Z
559328,http://www.marinespecies.org/aphia.php?p=taxdetails&id=559328,Ctenorhabdotus capulus,"Conway Morris & Collins, 1996",accepted,NA,220,Species,559328,Ctenorhabdotus capulus,"Conway Morris & Collins, 1996",559327,Animalia,Ctenophora,Ctenophora incertae sedis,NA,Ctenorhabdotidae,Ctenorhabdotus,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Ctenorhabdotus capulus Conway Morris & Collins, 1996&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=559328 on 2021-07-28",urn:lsid:marinespecies.org:taxname:559328,1,0,0,0,1,exact,2011-02-09T12:41:24.933Z
559331,http://www.marinespecies.org/aphia.php?p=taxdetails&id=559331,Fasciculus vesanus,"Simonetta & Della Cave, 1978",accepted,NA,220,Species,559331,Fasciculus vesanus,"Simonetta & Della Cave, 1978",559330,Animalia,Ctenophora,Ctenophora incertae sedis,NA,Fasciculidae,Fasciculus,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Fasciculus vesanus Simonetta & Della Cave, 1978&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=559331 on 2021-07-28",urn:lsid:marinespecies.org:taxname:559331,1,0,0,0,1,exact,2011-02-09T12:41:24.933Z
559334,http://www.marinespecies.org/aphia.php?p=taxdetails&id=559334,Xanioascus canadensis,"Conway Morris & Collins, 1996",accepted,NA,220,Species,559334,Xanioascus canadensis,"Conway Morris & Collins, 1996",559333,Animalia,Ctenophora,Ctenophora incertae sedis,NA,Xanioascidae,Xanioascus,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Xanioascus canadensis Conway Morris & Collins, 1996&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=559334 on 2021-07-28",urn:lsid:marinespecies.org:taxname:559334,1,0,0,0,1,exact,2011-02-09T12:41:24.933Z
559296,http://www.marinespecies.org/aphia.php?p=taxdetails&id=559296,Janira cucumis,"(Mertens, 1833)",unaccepted,NA,220,Species,106382,Hormiphora cucumis,"(Mertens, 1833)",559295,Animalia,Ctenophora,Tentaculata,Tentaculata incertae sedis,NA,Janira,"Mills, C.E. Internet (1998-present). Phylum Ctenophora: list of all valid species names. Electronic internet document. Janira cucumis (Mertens, 1833). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=559296 on 2021-07-28",urn:lsid:marinespecies.org:taxname:559296,1,0,0,0,NA,exact,2011-02-09T12:41:24.933Z
