AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
265663,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265663,Conocyema adminicula,"McConnaughey, 1949",unaccepted,Synonym,220,Species,493795,Dicyemennea adminicula,"(McConnaughey, 1949)",119135,Animalia,Dicyemida,Rhombozoa,NA,Conocyemidae,Conocyema,"WoRMS (2021). Conocyema adminicula McConnaughey, 1949. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265663 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265663,1,NA,NA,NA,NA,exact,2010-08-09T06:38:03.213Z
265664,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265664,Conocyema deca,"McConnaughey, 1957",unaccepted,Synonym,220,Species,493800,Dicyemodeca deca,"(McConnaughey, 1957)",119135,Animalia,Dicyemida,Rhombozoa,NA,Conocyemidae,Conocyema,"WoRMS (2021). Conocyema deca McConnaughey, 1957. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265664 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265664,1,NA,NA,NA,NA,exact,2010-08-09T06:38:03.213Z
265665,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265665,Conocyema marplatensis,"Penschaszadeh & Christiansen, 1970",unaccepted,Synonym,220,Species,493799,Dicyemennea marplatensis,"(Penchaszadeh & Christiansen, 1970)",119135,Animalia,Dicyemida,Rhombozoa,NA,Conocyemidae,Conocyema,"WoRMS (2021). Conocyema marplatensis Penschaszadeh & Christiansen, 1970. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265665 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265665,1,NA,NA,NA,NA,exact,2010-08-09T06:38:03.213Z
119148,http://www.marinespecies.org/aphia.php?p=taxdetails&id=119148,Conocyema polymorpha,"Van Beneden, 1882",accepted,NA,220,Species,119148,Conocyema polymorpha,"Van Beneden, 1882",119135,Animalia,Dicyemida,Rhombozoa,NA,Conocyemidae,Conocyema,"WoRMS (2021). Conocyema polymorpha Van Beneden, 1882. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=119148 on 2021-07-18",urn:lsid:marinespecies.org:taxname:119148,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
148609,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148609,Microcyema gracile,"(Wagenar, 1857)",unaccepted,synonym,220,Species,119160,Dicyemennea gracile,"(Wagener, 1857)",119136,Animalia,Dicyemida,Rhombozoa,NA,Conocyemidae,Microcyema,"WoRMS (2021). Microcyema gracile (Wagenar, 1857). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148609 on 2021-07-18",urn:lsid:marinespecies.org:taxname:148609,1,NA,NA,NA,NA,exact,2006-05-02T11:39:13.270Z
119149,http://www.marinespecies.org/aphia.php?p=taxdetails&id=119149,Microcyema vespa,"Van Beneden, 1882",accepted,NA,220,Species,119149,Microcyema vespa,"Van Beneden, 1882",119136,Animalia,Dicyemida,Rhombozoa,NA,Conocyemidae,Microcyema,"WoRMS (2021). Microcyema vespa Van Beneden, 1882. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=119149 on 2021-07-18",urn:lsid:marinespecies.org:taxname:119149,1,NA,NA,NA,NA,exact,2010-08-09T06:38:03.213Z
265666,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265666,Dicyema acciaccatum,"McConnaughey, 1949",accepted,NA,220,Species,265666,Dicyema acciaccatum,"McConnaughey, 1949",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema acciaccatum McConnaughey, 1949. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265666 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265666,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265667,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265667,Dicyema acheroni,"McConnaughey, 1949",accepted,NA,220,Species,265667,Dicyema acheroni,"McConnaughey, 1949",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema acheroni McConnaughey, 1949. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265667 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265667,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265668,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265668,Dicyema acuticephalum,"Nouvel, 1947",accepted,NA,220,Species,265668,Dicyema acuticephalum,"Nouvel, 1947",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema acuticephalum Nouvel, 1947. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265668 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265668,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265669,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265669,Dicyema aegira,"McConnaughey & Kritzler, 1952",accepted,NA,220,Species,265669,Dicyema aegira,"McConnaughey & Kritzler, 1952",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema aegira McConnaughey & Kritzler, 1952. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265669 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265669,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265670,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265670,Dicyema akashiense,"Furuya, 2005",accepted,NA,220,Species,265670,Dicyema akashiense,"Furuya, 2005",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema akashiense Furuya, 2005. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265670 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265670,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265671,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265671,Dicyema apalachiensis,"Short, 1962",accepted,NA,220,Species,265671,Dicyema apalachiensis,"Short, 1962",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema apalachiensis Short, 1962. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265671 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265671,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265672,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265672,Dicyema apollyoni,"Nouvel, 1947",accepted,NA,220,Species,265672,Dicyema apollyoni,"Nouvel, 1947",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema apollyoni Nouvel, 1947. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265672 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265672,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265673,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265673,Dicyema australis,"Penchaszadeh, 1969",accepted,NA,220,Species,265673,Dicyema australis,"Penchaszadeh, 1969",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema australis Penchaszadeh, 1969. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265673 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265673,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265674,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265674,Dicyema awajiense,"Furuya, 2005",accepted,NA,220,Species,265674,Dicyema awajiense,"Furuya, 2005",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema awajiense Furuya, 2005. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265674 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265674,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
265675,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265675,Dicyema balamuthi,"McConnaughey, 1949",unaccepted,NA,220,Species,265672,Dicyema apollyoni,"Nouvel, 1947",119137,Animalia,Dicyemida,Rhombozoa,NA,Dicyemidae,Dicyema,"WoRMS (2021). Dicyema balamuthi McConnaughey, 1949. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265675 on 2021-07-18",urn:lsid:marinespecies.org:taxname:265675,1,NA,NA,NA,NA,exact,2010-08-06T12:26:11.060Z
