AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1462655,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1462655,Ascopodaria discreta,"Busk, 1886",unaccepted,basionym,220,Species,414295,Barentsia discreta,"(Busk, 1886)",1462130,Animalia,Entoprocta,NA,NA,Barentsiidae,Ascopodaria,"WoRMS (2021). Ascopodaria discreta Busk, 1886. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1462655 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1462655,1,0,0,0,NA,exact,2020-10-19T12:29:09.943Z
1462271,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1462271,Ascopodaria macropus,"Ehlers, 1890",unaccepted,basionym,220,Species,246118,Barentsia macropus,"(Ehlers, 1890)",1462130,Animalia,Entoprocta,NA,NA,Barentsiidae,Ascopodaria,"WoRMS (2021). Ascopodaria macropus Ehlers, 1890. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1462271 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1462271,1,0,0,0,NA,exact,2020-10-16T12:58:25.503Z
1462656,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1462656,Ascopodaria misakiensis,"Oka, 1890",unaccepted,basionym,220,Species,414295,Barentsia discreta,"(Busk, 1886)",1462130,Animalia,Entoprocta,NA,NA,Barentsiidae,Ascopodaria,"WoRMS (2021). Ascopodaria misakiensis Oka, 1890. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1462656 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1462656,1,0,0,0,NA,exact,2020-10-19T12:29:09.943Z
986751,http://www.marinespecies.org/aphia.php?p=taxdetails&id=986751,Barentsia antarctica,"Johnston & Angel, 1940",accepted,NA,220,Species,986751,Barentsia antarctica,"Johnston & Angel, 1940",111795,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,"WoRMS (2021). Barentsia antarctica Johnston & Angel, 1940. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=986751 on 2021-07-19",urn:lsid:marinespecies.org:taxname:986751,1,NA,0,0,NA,exact,2017-03-14T12:41:53.707Z
111800,http://www.marinespecies.org/aphia.php?p=taxdetails&id=111800,Barentsia benedeni,"(Foettinger, 1887)",accepted,NA,220,Species,111800,Barentsia benedeni,"(Foettinger, 1887)",111795,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,"WoRMS (2021). Barentsia benedeni (Foettinger, 1887). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=111800 on 2021-07-19",urn:lsid:marinespecies.org:taxname:111800,1,1,0,0,NA,exact,2020-11-17T15:42:17.760Z
1000103,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1000103,Barentsia bullata,"(Fleming, 1826)",accepted,NA,220,Species,1000103,Barentsia bullata,"(Fleming, 1826)",111795,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,"WoRMS (2021). Barentsia bullata (Fleming, 1826). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1000103 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1000103,1,NA,NA,NA,NA,exact,2017-06-23T10:00:15.347Z
765970,http://www.marinespecies.org/aphia.php?p=taxdetails&id=765970,Barentsia capitata,"Calvet, 1904",accepted,NA,220,Species,765970,Barentsia capitata,"Calvet, 1904",111795,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,"WoRMS (2021). Barentsia capitata Calvet, 1904. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=765970 on 2021-07-19",urn:lsid:marinespecies.org:taxname:765970,1,0,0,0,0,exact,2014-06-23T05:50:25.957Z
852059,http://www.marinespecies.org/aphia.php?p=taxdetails&id=852059,Barentsia conferta,"Wasson, 1997",accepted,NA,220,Species,852059,Barentsia conferta,"Wasson, 1997",111795,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,"WoRMS (2021). Barentsia conferta Wasson, 1997. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=852059 on 2021-07-19",urn:lsid:marinespecies.org:taxname:852059,1,0,0,0,NA,exact,2015-08-12T07:47:03.857Z
414295,http://www.marinespecies.org/aphia.php?p=taxdetails&id=414295,Barentsia discreta,"(Busk, 1886)",accepted,NA,220,Species,414295,Barentsia discreta,"(Busk, 1886)",111795,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,"WoRMS (2021). Barentsia discreta (Busk, 1886). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=414295 on 2021-07-19",urn:lsid:marinespecies.org:taxname:414295,1,0,0,0,NA,exact,2020-10-19T12:29:09.943Z
111801,http://www.marinespecies.org/aphia.php?p=taxdetails&id=111801,Barentsia elongata,"Jullien & Calvet, 1903",accepted,NA,220,Species,111801,Barentsia elongata,"Jullien & Calvet, 1903",111795,Animalia,Entoprocta,NA,NA,Barentsiidae,Barentsia,"WoRMS (2021). Barentsia elongata Jullien & Calvet, 1903. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=111801 on 2021-07-19",urn:lsid:marinespecies.org:taxname:111801,1,0,0,0,NA,exact,2004-12-21T15:54:05Z
