AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
154562,http://www.marinespecies.org/aphia.php?p=taxdetails&id=154562,Cephalodasys cambriensis,"(Boaden, 1963)",accepted,NA,220,Species,154562,Cephalodasys cambriensis,"(Boaden, 1963)",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"Todaro, A.; d'Hondt, J-L. & Hummon, W. (2021). World Gastrotricha Database. Cephalodasys cambriensis (Boaden, 1963). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=154562 on 2021-07-19",urn:lsid:marinespecies.org:taxname:154562,1,0,0,0,NA,exact,2019-05-19T14:39:57.327Z
265515,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265515,Cephalodasys caudatus,"Rao, 1981",accepted,NA,220,Species,265515,Cephalodasys caudatus,"Rao, 1981",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"Todaro, A.; d'Hondt, J-L. & Hummon, W. (2021). World Gastrotricha Database. Cephalodasys caudatus Rao, 1981. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265515 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265515,1,0,0,0,NA,exact,2008-12-22T07:59:35.987Z
710789,http://www.marinespecies.org/aphia.php?p=taxdetails&id=710789,Cephalodasys dolichosomus,"Hummon, 2011",accepted,NA,220,Species,710789,Cephalodasys dolichosomus,"Hummon, 2011",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"WoRMS (2021). Cephalodasys dolichosomus Hummon, 2011. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=710789 on 2021-07-19",urn:lsid:marinespecies.org:taxname:710789,1,0,0,0,NA,exact,2012-11-19T13:52:18.190Z
114582,http://www.marinespecies.org/aphia.php?p=taxdetails&id=114582,Cephalodasys hadrosomus,"Hummon, Todaro & Tongiorgi, 1993",accepted,NA,220,Species,114582,Cephalodasys hadrosomus,"Hummon, Todaro & Tongiorgi, 1993",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"Todaro, A.; d'Hondt, J-L. & Hummon, W. (2021). World Gastrotricha Database. Cephalodasys hadrosomus Hummon, Todaro & Tongiorgi, 1993. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=114582 on 2021-07-19",urn:lsid:marinespecies.org:taxname:114582,1,0,0,0,NA,exact,2008-12-22T07:59:35.987Z
843674,http://www.marinespecies.org/aphia.php?p=taxdetails&id=843674,Cephalodasys interinsularis,"Kieneke, Schmidt-Rhaesa & Hochberg, 2015",accepted,NA,220,Species,843674,Cephalodasys interinsularis,"Kieneke, Schmidt-Rhaesa & Hochberg, 2015",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"WoRMS (2021). Cephalodasys interinsularis Kieneke, Schmidt-Rhaesa & Hochberg, 2015. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=843674 on 2021-07-19",urn:lsid:marinespecies.org:taxname:843674,1,0,0,0,NA,exact,2015-04-17T09:55:46.980Z
154563,http://www.marinespecies.org/aphia.php?p=taxdetails&id=154563,Cephalodasys littoralis,"Renaud-Debyser, 1964",accepted,NA,220,Species,154563,Cephalodasys littoralis,"Renaud-Debyser, 1964",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"Todaro, A.; d'Hondt, J-L. & Hummon, W. (2021). World Gastrotricha Database. Cephalodasys littoralis Renaud-Debyser, 1964. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=154563 on 2021-07-19",urn:lsid:marinespecies.org:taxname:154563,1,0,0,0,NA,exact,2008-12-22T07:59:35.987Z
1312458,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1312458,Cephalodasys mahoae,"Yamauchi & Kajihara, 2018",accepted,NA,220,Species,1312458,Cephalodasys mahoae,"Yamauchi & Kajihara, 2018",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"WoRMS (2021). Cephalodasys mahoae Yamauchi & Kajihara, 2018. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1312458 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1312458,1,NA,0,0,NA,exact,2018-12-01T08:22:19.987Z
114583,http://www.marinespecies.org/aphia.php?p=taxdetails&id=114583,Cephalodasys maximus,"Remane, 1926",accepted,NA,220,Species,114583,Cephalodasys maximus,"Remane, 1926",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"Todaro, A.; d'Hondt, J-L. & Hummon, W. (2021). World Gastrotricha Database. Cephalodasys maximus Remane, 1926. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=114583 on 2021-07-19",urn:lsid:marinespecies.org:taxname:114583,1,0,0,0,NA,exact,2008-12-22T07:59:35.987Z
265516,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265516,Cephalodasys miniceraus,"Hummon, 1974",accepted,NA,220,Species,265516,Cephalodasys miniceraus,"Hummon, 1974",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"Todaro, A.; d'Hondt, J-L. & Hummon, W. (2021). World Gastrotricha Database. Cephalodasys miniceraus Hummon, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265516 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265516,1,0,0,0,NA,exact,2008-12-22T07:59:35.987Z
265517,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265517,Cephalodasys pacificus,"Schmidt, 1974",accepted,NA,220,Species,265517,Cephalodasys pacificus,"Schmidt, 1974",114443,Animalia,Gastrotricha,NA,Macrodasyida,Cephalodasyidae,Cephalodasys,"Todaro, A.; d'Hondt, J-L. & Hummon, W. (2021). World Gastrotricha Database. Cephalodasys pacificus Schmidt, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265517 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265517,1,0,0,0,NA,exact,2008-12-22T07:59:35.987Z
