AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
162635,http://www.marinespecies.org/aphia.php?p=taxdetails&id=162635,Stimpsonia aurantiaca,"Girard, 1853",unaccepted,NA,220,Species,175476,Balanoglossus aurantiaca,"(Girard, 1853)",162634,Animalia,Hemichordata,Enteropneusta,NA,NA,Stimpsonia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Stimpsonia aurantiaca Girard, 1853. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=162635 on 2021-07-19",urn:lsid:marinespecies.org:taxname:162635,1,NA,NA,NA,0,exact,2020-12-22T12:20:06.463Z
579895,http://www.marinespecies.org/aphia.php?p=taxdetails&id=579895,Diplohydra gonothecata,"Kozlowski, 1949",accepted,NA,220,Species,579895,Diplohydra gonothecata,"Kozlowski, 1949",579894,Animalia,Hemichordata,Graptolithoidea,Rhabdopleuroidea,NA,Diplohydra,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Diplohydra gonothecata Kozlowski, 1949&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=579895 on 2021-07-19",urn:lsid:marinespecies.org:taxname:579895,1,NA,0,0,1,exact,2011-09-09T16:41:14.077Z
579896,http://www.marinespecies.org/aphia.php?p=taxdetails&id=579896,Diplohydra szaniawskii,"Mierzejewski & Kulicki, 2001",accepted,NA,220,Species,579896,Diplohydra szaniawskii,"Mierzejewski & Kulicki, 2001",579894,Animalia,Hemichordata,Graptolithoidea,Rhabdopleuroidea,NA,Diplohydra,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Diplohydra szaniawskii Mierzejewski & Kulicki, 2001&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=579896 on 2021-07-19",urn:lsid:marinespecies.org:taxname:579896,1,NA,0,0,1,exact,2011-09-09T16:41:14.077Z
579892,http://www.marinespecies.org/aphia.php?p=taxdetails&id=579892,Graptovermis intestinalis,"Kozlowski, 1949",accepted,NA,220,Species,579892,Graptovermis intestinalis,"Kozlowski, 1949",579891,Animalia,Hemichordata,Graptolithoidea,Rhabdopleuroidea,NA,Graptovermis,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Graptovermis intestinalis Kozlowski, 1949&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=579892 on 2021-07-19",urn:lsid:marinespecies.org:taxname:579892,1,NA,0,0,1,exact,2011-09-09T16:41:14.077Z
579893,http://www.marinespecies.org/aphia.php?p=taxdetails&id=579893,Graptovermis spiralis,"Kozlowski, 1949",accepted,NA,220,Species,579893,Graptovermis spiralis,"Kozlowski, 1949",579891,Animalia,Hemichordata,Graptolithoidea,Rhabdopleuroidea,NA,Graptovermis,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Graptovermis spiralis Kozlowski, 1949&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=579893 on 2021-07-19",urn:lsid:marinespecies.org:taxname:579893,1,NA,0,0,1,exact,2011-09-09T16:41:14.077Z
137596,http://www.marinespecies.org/aphia.php?p=taxdetails&id=137596,Planctosphaera pelagica,"Spengel, 1932",nomen dubium,NA,220,Species,137596,Planctosphaera pelagica,"Spengel, 1932",137587,Animalia,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Enteropneusta incertae sedis,Planctosphaera,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Planctosphaera pelagica Spengel, 1932. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=137596 on 2021-07-19",urn:lsid:marinespecies.org:taxname:137596,1,NA,0,0,NA,exact,2011-08-19T16:19:09.460Z
391910,http://www.marinespecies.org/aphia.php?p=taxdetails&id=391910,Tornaria krohni,NA,taxon inquirendum,larval stage of B. clavigerus?,220,Species,391910,Tornaria krohni,NA,391906,Animalia,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Enteropneusta incertae sedis,Tornaria,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Tornaria krohni. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=391910 on 2021-07-19",urn:lsid:marinespecies.org:taxname:391910,1,NA,0,0,NA,exact,2012-09-05T17:50:42.837Z
513916,http://www.marinespecies.org/aphia.php?p=taxdetails&id=513916,Harrimania borealis,"Okuda & Yamada, 1955",accepted,NA,220,Species,513916,Harrimania borealis,"Okuda & Yamada, 1955",137588,Animalia,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Harrimaniidae,Harrimania,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Harrimania borealis Okuda & Yamada, 1955. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=513916 on 2021-07-19",urn:lsid:marinespecies.org:taxname:513916,1,NA,0,0,NA,exact,2011-08-19T16:19:09.460Z
137597,http://www.marinespecies.org/aphia.php?p=taxdetails&id=137597,Harrimania kupfferi,"(von Willemoes-Suhm, 1871)",accepted,NA,220,Species,137597,Harrimania kupfferi,"(von Willemoes-Suhm, 1871)",137588,Animalia,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Harrimaniidae,Harrimania,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Harrimania kupfferi (von Willemoes-Suhm, 1871). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=137597 on 2021-07-19",urn:lsid:marinespecies.org:taxname:137597,1,NA,0,0,0,exact,2020-09-16T13:32:12.013Z
266552,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266552,Harrimania maculosa,"Ritter, 1900",accepted,NA,220,Species,266552,Harrimania maculosa,"Ritter, 1900",137588,Animalia,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Harrimaniidae,Harrimania,"Swalla, B.J.; van der Land, J. (2021). Hemichordata World Database. Harrimania maculosa Ritter, 1900. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266552 on 2021-07-19",urn:lsid:marinespecies.org:taxname:266552,1,NA,0,0,NA,exact,2008-01-04T16:37:03.600Z
