AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
162520,http://www.marinespecies.org/aphia.php?p=taxdetails&id=162520,Ascaris flustrae,"Dalyell, 1853",nomen dubium,NA,220,Species,162520,Ascaris flustrae,"Dalyell, 1853",162517,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Ascaris,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Ascaris flustrae Dalyell, 1853. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=162520 on 2021-07-19",urn:lsid:marinespecies.org:taxname:162520,1,NA,NA,NA,NA,exact,2012-05-04T16:10:10.033Z
177670,http://www.marinespecies.org/aphia.php?p=taxdetails&id=177670,Ascaris longissima,"Gunnerus, 1770",unaccepted,synonym,220,Species,122528,Lineus longissimus,"(Gunnerus, 1770)",162517,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Ascaris,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Ascaris longissima Gunnerus, 1770. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=177670 on 2021-07-19",urn:lsid:marinespecies.org:taxname:177670,1,NA,NA,NA,NA,exact,2012-05-04T16:10:10.033Z
176999,http://www.marinespecies.org/aphia.php?p=taxdetails&id=176999,Borlasia alba,"Thompson, 1845",unaccepted,synonym,220,Species,122666,Amphiporus lactifloreus,"(Johnston, 1828)",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia alba Thompson, 1845. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=176999 on 2021-07-19",urn:lsid:marinespecies.org:taxname:176999,1,0,0,0,0,exact,2021-04-04T16:44:39.120Z
177809,http://www.marinespecies.org/aphia.php?p=taxdetails&id=177809,Borlasia alileuti,NA,unaccepted,synonym,220,Species,122478,Cerebratulus marginatus,"Renier, 1804",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia alileuti. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=177809 on 2021-07-19",urn:lsid:marinespecies.org:taxname:177809,1,NA,0,0,NA,exact,2005-07-27T07:41:32.257Z
147282,http://www.marinespecies.org/aphia.php?p=taxdetails&id=147282,Borlasia annellata,NA,unaccepted,synonym,220,Species,122454,Cerebratulus annellatus,"(Leuckart, 1849)",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia annellata. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=147282 on 2021-07-19",urn:lsid:marinespecies.org:taxname:147282,1,NA,NA,NA,NA,exact,2005-03-04T09:11:57.730Z
177433,http://www.marinespecies.org/aphia.php?p=taxdetails&id=177433,Borlasia annulata,"(Ehrenberg, 1831)",unaccepted,synonym (partim),220,Species,122586,Notospermus geniculatus,"(Delle Chiaje, 1822)",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia annulata (Ehrenberg, 1831). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=177433 on 2021-07-19",urn:lsid:marinespecies.org:taxname:177433,1,NA,NA,NA,NA,exact,2012-08-25T21:51:41.503Z
147045,http://www.marinespecies.org/aphia.php?p=taxdetails&id=147045,Borlasia cephalothrix,NA,unaccepted,synonym,220,Species,122596,Cephalothrix linearis,"(Rathke, 1799)",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia cephalothrix. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=147045 on 2021-07-19",urn:lsid:marinespecies.org:taxname:147045,1,NA,NA,NA,NA,exact,2005-03-01T14:19:17.980Z
176734,http://www.marinespecies.org/aphia.php?p=taxdetails&id=176734,Borlasia echinoderma,"Marion, 1873",unaccepted,synonym,220,Species,122709,Emplectonema echinoderma,"(Marion, 1873)",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia echinoderma Marion, 1873. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=176734 on 2021-07-19",urn:lsid:marinespecies.org:taxname:176734,1,0,0,0,0,exact,2021-04-16T15:30:12.720Z
177749,http://www.marinespecies.org/aphia.php?p=taxdetails&id=177749,Borlasia elizabethae,"McIntosh, 1873-1874",unaccepted,New Combination,220,Species,122503,Euborlasia elizabethae,"(McIntosh, 1873-1874)",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia elizabethae McIntosh, 1873-1874. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=177749 on 2021-07-19",urn:lsid:marinespecies.org:taxname:177749,1,0,0,0,0,exact,2020-01-26T16:07:48.003Z
147093,http://www.marinespecies.org/aphia.php?p=taxdetails&id=147093,Borlasia filiformis,NA,unaccepted,synonym,220,Species,573286,Cephalothrix filiformis,"(Johnston, 1828)",147044,Animalia,Nemertea,Nemertea incertae sedis,NA,NA,Borlasia,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2021). World Nemertea Database. Borlasia filiformis. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=147093 on 2021-07-19",urn:lsid:marinespecies.org:taxname:147093,1,NA,NA,NA,NA,exact,2005-03-02T11:37:21.403Z
