AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
853145,http://www.marinespecies.org/aphia.php?p=taxdetails&id=853145,Actinotrocha albomaculata,"Temereva, 2009",unaccepted,Larval stadium,220,Species,128553,Phoronopsis albomaculata,"Gilchrist, 1907",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha albomaculata Temereva, 2009. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=853145 on 2021-07-19",urn:lsid:marinespecies.org:taxname:853145,1,NA,NA,NA,NA,exact,2019-08-23T13:08:58.810Z
869931,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869931,Actinotrocha architecta,"(Andrews, 1890)",unaccepted,Larval stadium,220,Species,128552,Phoronis psammophila,"Cori, 1889",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha architecta (Andrews, 1890). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869931 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869931,1,NA,NA,NA,NA,exact,2020-10-11T14:07:16.137Z
869928,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869928,Actinotrocha ashworthi,"Selys-Longchamps, 1907",unaccepted,Larval stadium,220,Species,128552,Phoronis psammophila,"Cori, 1889",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha ashworthi Selys-Longchamps, 1907. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869928 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869928,1,NA,NA,NA,NA,exact,2020-10-03T05:01:11.573Z
869921,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869921,Actinotrocha australis,"(Haswell, 1883)",unaccepted,NA,220,Species,128547,Phoronis australis,"Haswell, 1883",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha australis (Haswell, 1883). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869921 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869921,1,NA,NA,NA,NA,exact,2020-10-11T14:07:16.137Z
474106,http://www.marinespecies.org/aphia.php?p=taxdetails&id=474106,Actinotrocha branchiata,"Müller, 1846",unaccepted,Larval stadium,220,Species,128549,Phoronis muelleri,"Selys-Lonchamps, 1903",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha branchiata Müller, 1846. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=474106 on 2021-07-19",urn:lsid:marinespecies.org:taxname:474106,1,NA,NA,NA,NA,exact,2019-08-23T13:08:58.810Z
869925,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869925,Actinotrocha brownei,"Selys-Longchamps, 1907",unaccepted,NA,220,Species,128549,Phoronis muelleri,"Selys-Lonchamps, 1903",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha brownei Selys-Longchamps, 1907. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869925 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869925,1,NA,NA,NA,NA,exact,2020-11-07T11:07:59.463Z
869922,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869922,Actinotrocha buskii,"(Haswell, 1883)",unaccepted,NA,220,Species,128547,Phoronis australis,"Haswell, 1883",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha buskii (Haswell, 1883). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869922 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869922,1,NA,NA,NA,NA,exact,2020-10-23T13:04:35.090Z
853144,http://www.marinespecies.org/aphia.php?p=taxdetails&id=853144,Actinotrocha californica,"Temereva, 2009",unaccepted,Larval stadium,220,Species,128554,Phoronopsis californica,"Hilton, 1930",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha californica Temereva, 2009. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=853144 on 2021-07-19",urn:lsid:marinespecies.org:taxname:853144,1,NA,NA,NA,NA,exact,2020-10-03T05:01:11.573Z
869919,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869919,Actinotrocha gracilis,"(van Beneden, 1858)",unaccepted,Larval stadium,220,Species,128548,Phoronis hippocrepia,"Wright, 1856",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha gracilis (van Beneden, 1858). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869919 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869919,1,NA,NA,NA,NA,exact,2020-10-23T13:04:35.090Z
474111,http://www.marinespecies.org/aphia.php?p=taxdetails&id=474111,Actinotrocha harmeri,"Zimmer, 1964",unaccepted,Larval stadium,220,Species,128555,Phoronopsis harmeri,"Pixell, 1912",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha harmeri Zimmer, 1964. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=474111 on 2021-07-19",urn:lsid:marinespecies.org:taxname:474111,1,NA,NA,NA,NA,exact,2019-08-23T13:08:58.810Z
869927,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869927,Actinotrocha hatscheki,"Selys-Longchamps, 1907",unaccepted,Larval stadium,220,Species,128552,Phoronis psammophila,"Cori, 1889",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha hatscheki Selys-Longchamps, 1907. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869927 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869927,1,NA,NA,NA,NA,exact,2020-11-07T11:07:59.463Z
474107,http://www.marinespecies.org/aphia.php?p=taxdetails&id=474107,Actinotrocha hippocrepia,"(Wright, 1856)",unaccepted,Larval stadium,220,Species,128548,Phoronis hippocrepia,"Wright, 1856",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha hippocrepia (Wright, 1856). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=474107 on 2021-07-19",urn:lsid:marinespecies.org:taxname:474107,1,NA,NA,NA,NA,exact,2020-10-30T07:29:56.700Z
869926,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869926,Actinotrocha metschnikoffi,"Selys-Longchamps, 1907",unaccepted,Larval stadium,220,Species,128552,Phoronis psammophila,"Cori, 1889",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha metschnikoffi Selys-Longchamps, 1907. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869926 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869926,1,NA,NA,NA,NA,exact,2020-10-03T05:01:11.573Z
869924,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869924,Actinotrocha metschnikowi,"Roule, 1900",unaccepted,Larval stadium,220,Species,128549,Phoronis muelleri,"Selys-Lonchamps, 1903",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha metschnikowi Roule, 1900. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869924 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869924,1,NA,NA,NA,NA,exact,2020-10-30T07:29:56.700Z
869923,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869923,Actinotrocha muelleri,"Roule, 1900",unaccepted,Larval stadium,220,Species,128549,Phoronis muelleri,"Selys-Lonchamps, 1903",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha muelleri Roule, 1900. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869923 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869923,1,NA,NA,NA,NA,exact,2020-10-11T14:07:16.137Z
474110,http://www.marinespecies.org/aphia.php?p=taxdetails&id=474110,Actinotrocha pallida,"Schneider, 1862",unaccepted,Larval stadium,220,Species,128551,Phoronis pallida,"(Schneider, 1862)",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha pallida Schneider, 1862. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=474110 on 2021-07-19",urn:lsid:marinespecies.org:taxname:474110,1,NA,NA,NA,NA,exact,2020-10-30T07:29:56.700Z
869930,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869930,Actinotrocha psammophila,"(Cori, 1889)",unaccepted,Larval stadium,220,Species,128552,Phoronis psammophila,"Cori, 1889",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha psammophila (Cori, 1889). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869930 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869930,1,NA,NA,NA,NA,exact,2020-10-30T07:29:56.700Z
474109,http://www.marinespecies.org/aphia.php?p=taxdetails&id=474109,Actinotrocha sabatieri,"(Roule, 1899)",unaccepted,Larval stadium,220,Species,128552,Phoronis psammophila,"Cori, 1889",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha sabatieri (Roule, 1899). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=474109 on 2021-07-19",urn:lsid:marinespecies.org:taxname:474109,1,NA,NA,NA,NA,exact,2020-10-23T13:04:35.090Z
474108,http://www.marinespecies.org/aphia.php?p=taxdetails&id=474108,Actinotrocha vancouverensis,"Zimmer, 1964",unaccepted,Larval stadium,220,Species,237586,Phoronis ijimai,"Oka, 1897",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha vancouverensis Zimmer, 1964. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=474108 on 2021-07-19",urn:lsid:marinespecies.org:taxname:474108,1,NA,NA,NA,NA,exact,2019-08-23T13:08:58.810Z
869929,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869929,Actinotrocha wilsoni,"Selys-Longchamps, 1907",unaccepted,Larval stadium,220,Species,128552,Phoronis psammophila,"Cori, 1889",474105,Animalia,Phoronida,NA,NA,Actinotrochidae,Actinotrocha,"WoRMS (2021). Actinotrocha wilsoni Selys-Longchamps, 1907. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869929 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869929,1,NA,NA,NA,NA,exact,2020-10-23T13:04:35.090Z
