AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1301180,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1301180,Furcularia marina,"Dujardin, 1841",unaccepted,NA,220,Species,135015,Encentrum marinum,"(Dujardin, 1841)",1301179,Animalia,Rotifera,Eurotatoria,NA,Philodinidae,Furcularia,"WoRMS (2021). Furcularia marina Dujardin, 1841. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1301180 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1301180,1,1,1,NA,NA,exact,2018-10-05T07:02:57.197Z
1301187,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1301187,Furcularia reinhardti,"Ehrenberg, 1834",unaccepted,NA,220,Species,135036,Proales reinhardti,"(Ehrenberg, 1834)",1301179,Animalia,Rotifera,Eurotatoria,NA,Philodinidae,Furcularia,"Segers, H. (Ed.) (2021). World Rotifera database (FADA). Furcularia reinhardti Ehrenberg, 1834. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1301187 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1301187,1,NA,NA,NA,NA,exact,2018-10-05T07:02:57.197Z
1390902,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1390902,Mniobia symbiotica,"(Zelinka, 1886)",accepted,NA,220,Species,1390902,Mniobia symbiotica,"(Zelinka, 1886)",1390867,Animalia,Rotifera,Eurotatoria,NA,Philodinidae,Mniobia,"WoRMS (2021). Mniobia symbiotica (Zelinka, 1886). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1390902 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1390902,1,1,1,1,0,exact,2019-11-28T09:40:45.560Z
1390915,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1390915,Philodina jeanneli,"Beauchamp, 1940",accepted,NA,220,Species,1390915,Philodina jeanneli,"Beauchamp, 1940",247918,Animalia,Rotifera,Eurotatoria,NA,Philodinidae,Philodina,"WoRMS (2021). Philodina jeanneli Beauchamp, 1940. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1390915 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1390915,1,1,NA,NA,0,exact,2019-11-28T09:40:45.560Z
247966,http://www.marinespecies.org/aphia.php?p=taxdetails&id=247966,Philodina roseola,"Ehrenberg, 1832",accepted,NA,220,Species,247966,Philodina roseola,"Ehrenberg, 1832",247918,Animalia,Rotifera,Eurotatoria,NA,Philodinidae,Philodina,"Segers, H. (Ed.) (2021). World Rotifera database (FADA). Philodina roseola Ehrenberg, 1832. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=247966 on 2021-07-19",urn:lsid:marinespecies.org:taxname:247966,1,NA,NA,NA,NA,exact,2008-10-21T06:27:16.730Z
134962,http://www.marinespecies.org/aphia.php?p=taxdetails&id=134962,Zelinkiella synaptae,"(Zelinka, 1887)",accepted,NA,220,Species,134962,Zelinkiella synaptae,"(Zelinka, 1887)",134928,Animalia,Rotifera,Eurotatoria,NA,Philodinidae,Zelinkiella,"Segers, H. (Ed.) (2021). World Rotifera database (FADA). Zelinkiella synaptae (Zelinka, 1887). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=134962 on 2021-07-19",urn:lsid:marinespecies.org:taxname:134962,1,NA,NA,NA,NA,exact,2008-10-20T09:49:09.560Z
368612,http://www.marinespecies.org/aphia.php?p=taxdetails&id=368612,Paraseison annulatus,"(Claus, 1876)",accepted,NA,220,Species,368612,Paraseison annulatus,"(Claus, 1876)",368552,Animalia,Rotifera,Pararotatoria,Seisonacea,Seisonidae,Paraseison,"Segers, H. (Ed.) (2021). World Rotifera database (FADA). Paraseison annulatus (Claus, 1876). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=368612 on 2021-07-19",urn:lsid:marinespecies.org:taxname:368612,1,NA,NA,NA,NA,exact,2008-10-21T10:55:45.907Z
368618,http://www.marinespecies.org/aphia.php?p=taxdetails&id=368618,Seison africanus,"Sørensen, Segers & Funch, 2005",accepted,NA,220,Species,368618,Seison africanus,"Sørensen, Segers & Funch, 2005",134960,Animalia,Rotifera,Pararotatoria,Seisonacea,Seisonidae,Seison,"Segers, H. (Ed.) (2021). World Rotifera database (FADA). Seison africanus Sørensen, Segers & Funch, 2005. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=368618 on 2021-07-19",urn:lsid:marinespecies.org:taxname:368618,1,NA,NA,NA,NA,exact,2008-10-21T10:55:45.907Z
135071,http://www.marinespecies.org/aphia.php?p=taxdetails&id=135071,Seison annulatus,"Claus, 1876",unaccepted,NA,220,Species,368612,Paraseison annulatus,"(Claus, 1876)",134960,Animalia,Rotifera,Pararotatoria,Seisonacea,Seisonidae,Seison,"Segers, H. (Ed.) (2021). World Rotifera database (FADA). Seison annulatus Claus, 1876. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=135071 on 2021-07-19",urn:lsid:marinespecies.org:taxname:135071,1,NA,NA,NA,NA,exact,2008-10-28T09:00:37.147Z
135072,http://www.marinespecies.org/aphia.php?p=taxdetails&id=135072,Seison nebaliae,"Grube, 1861",accepted,NA,220,Species,135072,Seison nebaliae,"Grube, 1861",134960,Animalia,Rotifera,Pararotatoria,Seisonacea,Seisonidae,Seison,"Segers, H. (Ed.) (2021). World Rotifera database (FADA). Seison nebaliae Grube, 1861. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=135072 on 2021-07-19",urn:lsid:marinespecies.org:taxname:135072,1,NA,NA,NA,NA,exact,2008-10-20T09:49:09.560Z
