AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
424595,http://www.marinespecies.org/aphia.php?p=taxdetails&id=424595,Cryptosoma pallidum,"(Koren & Danielssen, 1876)",unaccepted,subsequent combination,220,Species,136074,Phascolion (Isomya) tuberculosum,"Théel, 1875",558150,Animalia,Sipuncula,Sipuncula incertae sedis,NA,NA,Cryptosoma,"Saiz, J. (2021). World Sipuncula Database. Cryptosoma pallidum (Koren & Danielssen, 1876). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=424595 on 2021-07-19",urn:lsid:marinespecies.org:taxname:424595,1,0,0,0,NA,exact,2011-01-10T10:21:04.193Z
424552,http://www.marinespecies.org/aphia.php?p=taxdetails&id=424552,Cryptosoma strombi,"(Montagu, 1804)",unaccepted,subsequent combination,220,Species,410749,Phascolion (Phascolion) strombus strombus,"(Montagu, 1804)",558150,Animalia,Sipuncula,Sipuncula incertae sedis,NA,NA,Cryptosoma,"Saiz, J. (2021). World Sipuncula Database. Cryptosoma strombi (Montagu, 1804). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=424552 on 2021-07-19",urn:lsid:marinespecies.org:taxname:424552,1,0,0,0,NA,exact,2011-01-10T10:21:04.193Z
424238,http://www.marinespecies.org/aphia.php?p=taxdetails&id=424238,Homalosoma laeve,"Oersted in Keferstein, 1865",unaccepted,synonym,220,Species,175027,Golfingia (Golfingia) margaritacea,"(Sars, 1851)",549222,Animalia,Sipuncula,Sipuncula incertae sedis,NA,NA,Homalosoma,"Saiz, J. (2021). World Sipuncula Database. Homalosoma laeve Oersted in Keferstein, 1865. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=424238 on 2021-07-19",urn:lsid:marinespecies.org:taxname:424238,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
424139,http://www.marinespecies.org/aphia.php?p=taxdetails&id=424139,Lumbricus edulis,"Pallas, 1774",unaccepted,synonym,220,Species,220533,Siphonosoma cumanense,"(Keferstein, 1867)",558151,Animalia,Sipuncula,Sipuncula incertae sedis,NA,NA,Lumbricus,"Saiz, J. (2021). World Sipuncula Database. Lumbricus edulis Pallas, 1774. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=424139 on 2021-07-19",urn:lsid:marinespecies.org:taxname:424139,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
424099,http://www.marinespecies.org/aphia.php?p=taxdetails&id=424099,Lumbricus phalloides,"Pallas, 1774",unaccepted,basionym,220,Species,410765,Sipunculus (Sipunculus) phalloides phalloides,"(Pallas, 1774)",558151,Animalia,Sipuncula,Sipuncula incertae sedis,NA,NA,Lumbricus,"Saiz, J. (2021). World Sipuncula Database. Lumbricus phalloides Pallas, 1774. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=424099 on 2021-07-19",urn:lsid:marinespecies.org:taxname:424099,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
424999,http://www.marinespecies.org/aphia.php?p=taxdetails&id=424999,Sternaspis elegans,"sensu Chamisso & Eysenhardt, 1821",unaccepted,basionym,220,Species,136033,Aspidosiphon (Aspidosiphon) elegans,"(Chamisso & Eysenhardt, 1821)",558155,Animalia,Sipuncula,Sipuncula incertae sedis,NA,NA,Sternaspis,"Saiz, J. (2021). World Sipuncula Database. Sternaspis elegans sensu Chamisso & Eysenhardt, 1821. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=424999 on 2021-07-19",urn:lsid:marinespecies.org:taxname:424999,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
425144,http://www.marinespecies.org/aphia.php?p=taxdetails&id=425144,Aspidosiphon albus,"Murina, 1967",alternate representation,NA,220,Species,136032,Aspidosiphon (Akrikos) albus,"Murina, 1967",136019,Animalia,Sipuncula,Phascolosomatidea,Aspidosiphonida,Aspidosiphonidae,Aspidosiphon,"Saiz, J. (2021). World Sipuncula Database. Aspidosiphon albus Murina, 1967. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=425144 on 2021-07-19",urn:lsid:marinespecies.org:taxname:425144,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
425133,http://www.marinespecies.org/aphia.php?p=taxdetails&id=425133,Aspidosiphon ambonensis,"Augener, 1903",unaccepted,synonym,220,Species,266451,Aspidosiphon (Paraspidosiphon) tenuis,"Sluiter, 1886",136019,Animalia,Sipuncula,Phascolosomatidea,Aspidosiphonida,Aspidosiphonidae,Aspidosiphon,"Saiz, J. (2021). World Sipuncula Database. Aspidosiphon ambonensis Augener, 1903. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=425133 on 2021-07-19",urn:lsid:marinespecies.org:taxname:425133,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
425081,http://www.marinespecies.org/aphia.php?p=taxdetails&id=425081,Aspidosiphon angulatus,"Ikeda, 1904",unaccepted,synonym,220,Species,136034,Aspidosiphon (Paraspidosiphon) laevis,"Quatrefages, 1865",136019,Animalia,Sipuncula,Phascolosomatidea,Aspidosiphonida,Aspidosiphonidae,Aspidosiphon,"Saiz, J. (2021). World Sipuncula Database. Aspidosiphon angulatus Ikeda, 1904. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=425081 on 2021-07-19",urn:lsid:marinespecies.org:taxname:425081,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
425044,http://www.marinespecies.org/aphia.php?p=taxdetails&id=425044,Aspidosiphon armatum,"Danielssen & Koren, 1880",unaccepted,synonym,220,Species,410717,Aspidosiphon (Aspidosiphon) muelleri muelleri,"Diesing, 1851",136019,Animalia,Sipuncula,Phascolosomatidea,Aspidosiphonida,Aspidosiphonidae,Aspidosiphon,"Saiz, J. (2021). World Sipuncula Database. Aspidosiphon armatum Danielssen & Koren, 1880. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=425044 on 2021-07-19",urn:lsid:marinespecies.org:taxname:425044,1,0,0,0,NA,exact,2009-10-19T08:07:33.833Z
