AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
955597,http://www.marinespecies.org/aphia.php?p=taxdetails&id=955597,Milnesium beasleyi,"Kaczmarek, Jakubowska & Michalczyk, 2012",accepted,NA,220,Species,955597,Milnesium beasleyi,"Kaczmarek, Jakubowska & Michalczyk, 2012",342586,Animalia,Tardigrada,Eutardigrada,Apochela,Milnesiidae,Milnesium,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Milnesium beasleyi Kaczmarek, Jakubowska & Michalczyk, 2012. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=955597 on 2021-07-19",urn:lsid:marinespecies.org:taxname:955597,0,1,0,1,NA,exact,2017-02-14T06:28:26.840Z
842742,http://www.marinespecies.org/aphia.php?p=taxdetails&id=842742,Archechiniscus biscaynei,"Miller, Clark & C. Miller, 2012",accepted,NA,220,Species,842742,Archechiniscus biscaynei,"Miller, Clark & C. Miller, 2012",342546,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Archechiniscidae,Archechiniscus,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Archechiniscus biscaynei Miller, Clark & C. Miller, 2012. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=842742 on 2021-07-19",urn:lsid:marinespecies.org:taxname:842742,1,NA,NA,NA,NA,exact,2017-02-28T06:30:36.053Z
342736,http://www.marinespecies.org/aphia.php?p=taxdetails&id=342736,Archechiniscus marci,"Schulz, 1953",accepted,NA,220,Species,342736,Archechiniscus marci,"Schulz, 1953",342546,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Archechiniscidae,Archechiniscus,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Archechiniscus marci Schulz, 1953. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=342736 on 2021-07-19",urn:lsid:marinespecies.org:taxname:342736,1,NA,NA,NA,NA,exact,2015-04-01T09:45:46.970Z
342737,http://www.marinespecies.org/aphia.php?p=taxdetails&id=342737,Archechiniscus minutus,"Grimaldi de Zio & D'Addabbo Gallo, 1987",accepted,NA,220,Species,342737,Archechiniscus minutus,"Grimaldi de Zio & D'Addabbo Gallo, 1987",342546,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Archechiniscidae,Archechiniscus,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Archechiniscus minutus Grimaldi de Zio & D'Addabbo Gallo, 1987. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=342737 on 2021-07-19",urn:lsid:marinespecies.org:taxname:342737,1,NA,NA,NA,NA,exact,2016-03-31T12:20:35.130Z
342738,http://www.marinespecies.org/aphia.php?p=taxdetails&id=342738,Archechiniscus symbalanus,"Chang & Rho, 1998",accepted,NA,220,Species,342738,Archechiniscus symbalanus,"Chang & Rho, 1998",342546,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Archechiniscidae,Archechiniscus,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Archechiniscus symbalanus Chang & Rho, 1998. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=342738 on 2021-07-19",urn:lsid:marinespecies.org:taxname:342738,1,NA,NA,NA,NA,exact,2015-04-01T09:45:46.970Z
136658,http://www.marinespecies.org/aphia.php?p=taxdetails&id=136658,Batillipes acaudatus,"Pollock, 1971",accepted,NA,220,Species,136658,Batillipes acaudatus,"Pollock, 1971",136629,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Batillipedidae,Batillipes,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Batillipes acaudatus Pollock, 1971. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=136658 on 2021-07-19",urn:lsid:marinespecies.org:taxname:136658,1,NA,NA,NA,NA,exact,2016-01-15T13:38:11.577Z
863108,http://www.marinespecies.org/aphia.php?p=taxdetails&id=863108,Batillipes acuticauda,"Menechella, Bulnes & Cazzaniga, 2015",accepted,NA,220,Species,863108,Batillipes acuticauda,"Menechella, Bulnes & Cazzaniga, 2015",136629,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Batillipedidae,Batillipes,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Batillipes acuticauda Menechella, Bulnes & Cazzaniga, 2015. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=863108 on 2021-07-19",urn:lsid:marinespecies.org:taxname:863108,1,0,0,0,NA,exact,2015-11-05T08:04:01Z
136659,http://www.marinespecies.org/aphia.php?p=taxdetails&id=136659,Batillipes adriaticus,"Grimaldi de Zio, Morone de Lucia, D'Addabbo Gallo & Grimaldi, 1979",accepted,NA,220,Species,136659,Batillipes adriaticus,"Grimaldi de Zio, Morone de Lucia, D'Addabbo Gallo & Grimaldi, 1979",136629,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Batillipedidae,Batillipes,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Batillipes adriaticus Grimaldi de Zio, Morone de Lucia, D'Addabbo Gallo & Grimaldi, 1979. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=136659 on 2021-07-19",urn:lsid:marinespecies.org:taxname:136659,1,NA,NA,NA,NA,exact,2016-01-15T13:38:11.577Z
136660,http://www.marinespecies.org/aphia.php?p=taxdetails&id=136660,Batillipes africanus,"Morone De Lucia, D' Addabbo Gallo & Grimaldi de Zio, 1988",accepted,NA,220,Species,136660,Batillipes africanus,"Morone De Lucia, D' Addabbo Gallo & Grimaldi de Zio, 1988",136629,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Batillipedidae,Batillipes,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Batillipes africanus Morone De Lucia, D' Addabbo Gallo & Grimaldi de Zio, 1988. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=136660 on 2021-07-19",urn:lsid:marinespecies.org:taxname:136660,1,NA,NA,NA,NA,exact,2016-01-15T13:38:11.577Z
955173,http://www.marinespecies.org/aphia.php?p=taxdetails&id=955173,Batillipes amblypyge,"Menechella, Bulnes & Cazzaniga, 2017",accepted,NA,220,Species,955173,Batillipes amblypyge,"Menechella, Bulnes & Cazzaniga, 2017",136629,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Batillipedidae,Batillipes,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Batillipes amblypyge Menechella, Bulnes & Cazzaniga, 2017. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=955173 on 2021-07-19",urn:lsid:marinespecies.org:taxname:955173,1,NA,NA,NA,NA,exact,2017-06-13T06:26:28.280Z
136661,http://www.marinespecies.org/aphia.php?p=taxdetails&id=136661,Batillipes annulatus,"de Zio, 1962",accepted,NA,220,Species,136661,Batillipes annulatus,"de Zio, 1962",136629,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Batillipedidae,Batillipes,"Guidetti, R.; McInnes, S.J.; Kristensen, R.M. (2021). World List of Tardigrada. Batillipes annulatus de Zio, 1962. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=136661 on 2021-07-19",urn:lsid:marinespecies.org:taxname:136661,1,NA,NA,NA,NA,exact,2017-02-13T07:40:11.680Z
987154,http://www.marinespecies.org/aphia.php?p=taxdetails&id=987154,Batillipes brasiliensis,"Santos, Rocha, Gomes Jr & Fontoura, 2017",accepted,NA,220,Species,987154,Batillipes brasiliensis,"Santos, Rocha, Gomes Jr & Fontoura, 2017",136629,Animalia,Tardigrada,Heterotardigrada,Arthrotardigrada,Batillipedidae,Batillipes,"WoRMS (2021). Batillipes brasiliensis Santos, Rocha, Gomes Jr & Fontoura, 2017. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=987154 on 2021-07-19",urn:lsid:marinespecies.org:taxname:987154,1,NA,NA,NA,NA,exact,2017-03-23T16:34:05.013Z
