AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
141971,http://www.marinespecies.org/aphia.php?p=taxdetails&id=141971,Xenoturbella bocki,"Westblad, 1949",accepted,NA,220,Species,141971,Xenoturbella bocki,"Westblad, 1949",138665,Animalia,Xenacoelomorpha,NA,NA,Xenoturbellidae,Xenoturbella,"WoRMS (2021). Xenoturbella bocki Westblad, 1949. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141971 on 2021-07-19",urn:lsid:marinespecies.org:taxname:141971,1,NA,NA,NA,NA,exact,2017-05-24T21:16:56.510Z
869204,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869204,Xenoturbella churro,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",accepted,NA,220,Species,869204,Xenoturbella churro,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",138665,Animalia,Xenacoelomorpha,NA,NA,Xenoturbellidae,Xenoturbella,"WoRMS (2021). Xenoturbella churro Rouse, Wilson, Carvajal & Vrijenhoek, 2016. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869204 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869204,1,NA,NA,NA,NA,exact,2016-02-04T21:08:51.163Z
869205,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869205,Xenoturbella hollandorum,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",accepted,NA,220,Species,869205,Xenoturbella hollandorum,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",138665,Animalia,Xenacoelomorpha,NA,NA,Xenoturbellidae,Xenoturbella,"WoRMS (2021). Xenoturbella hollandorum Rouse, Wilson, Carvajal & Vrijenhoek, 2016. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869205 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869205,1,NA,NA,NA,NA,exact,2016-02-04T21:08:51.163Z
1057843,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1057843,Xenoturbella japonica,"Nakano, Miyazawa, Maeno, Shiroishi, Kakui, Koyanagi, Kanda, Satoh, Omori & Kohtsuka, 2018",accepted,NA,220,Species,1057843,Xenoturbella japonica,"Nakano, Miyazawa, Maeno, Shiroishi, Kakui, Koyanagi, Kanda, Satoh, Omori & Kohtsuka, 2018",138665,Animalia,Xenacoelomorpha,NA,NA,Xenoturbellidae,Xenoturbella,"WoRMS (2021). Xenoturbella japonica Nakano, Miyazawa, Maeno, Shiroishi, Kakui, Koyanagi, Kanda, Satoh, Omori & Kohtsuka, 2018. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1057843 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1057843,1,NA,NA,NA,NA,exact,2018-11-17T18:23:14.570Z
869202,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869202,Xenoturbella monstrosa,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",accepted,NA,220,Species,869202,Xenoturbella monstrosa,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",138665,Animalia,Xenacoelomorpha,NA,NA,Xenoturbellidae,Xenoturbella,"WoRMS (2021). Xenoturbella monstrosa Rouse, Wilson, Carvajal & Vrijenhoek, 2016. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869202 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869202,1,NA,NA,NA,NA,exact,2016-02-04T21:08:51.163Z
869203,http://www.marinespecies.org/aphia.php?p=taxdetails&id=869203,Xenoturbella profunda,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",accepted,NA,220,Species,869203,Xenoturbella profunda,"Rouse, Wilson, Carvajal & Vrijenhoek, 2016",138665,Animalia,Xenacoelomorpha,NA,NA,Xenoturbellidae,Xenoturbella,"WoRMS (2021). Xenoturbella profunda Rouse, Wilson, Carvajal & Vrijenhoek, 2016. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=869203 on 2021-07-19",urn:lsid:marinespecies.org:taxname:869203,1,NA,NA,NA,NA,exact,2016-02-04T21:08:51.163Z
141972,http://www.marinespecies.org/aphia.php?p=taxdetails&id=141972,Xenoturbella westbladi,"Israelsson, 1999",unaccepted,synonym,220,Species,141971,Xenoturbella bocki,"Westblad, 1949",138665,Animalia,Xenacoelomorpha,NA,NA,Xenoturbellidae,Xenoturbella,"Tyler, S., Artois, T.; Schilling, S.; Hooge, M.; Bush, L.F. (eds) (2006-2021). World List of turbellarian worms: Acoelomorpha, Catenulida, Rhabditophora. Xenoturbella westbladi Israelsson, 1999. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=141972 on 2021-07-19",urn:lsid:marinespecies.org:taxname:141972,1,NA,NA,NA,NA,exact,2017-05-26T14:47:12.373Z
480307,http://www.marinespecies.org/aphia.php?p=taxdetails&id=480307,Actinoposthia beklemischevi,"Mamkaev, 1965",accepted,NA,220,Species,480307,Actinoposthia beklemischevi,"Mamkaev, 1965",142129,Animalia,Xenacoelomorpha,NA,Acoela,Actinoposthiidae,Actinoposthia,"Tyler, S., Artois, T.; Schilling, S.; Hooge, M.; Bush, L.F. (eds) (2006-2021). World List of turbellarian worms: Acoelomorpha, Catenulida, Rhabditophora. Actinoposthia beklemischevi Mamkaev, 1965. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=480307 on 2021-07-19",urn:lsid:marinespecies.org:taxname:480307,1,NA,NA,NA,NA,exact,2010-06-23T13:12:51.330Z
142534,http://www.marinespecies.org/aphia.php?p=taxdetails&id=142534,Actinoposthia beklemishevi,"Mamkaev, 1965",unaccepted,NA,220,Species,480307,Actinoposthia beklemischevi,"Mamkaev, 1965",142129,Animalia,Xenacoelomorpha,NA,Acoela,Actinoposthiidae,Actinoposthia,"Tyler, S., Artois, T.; Schilling, S.; Hooge, M.; Bush, L.F. (eds) (2006-2021). World List of turbellarian worms: Acoelomorpha, Catenulida, Rhabditophora. Actinoposthia beklemishevi Mamkaev, 1965. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=142534 on 2021-07-19",urn:lsid:marinespecies.org:taxname:142534,1,NA,NA,NA,NA,exact,2004-12-21T15:54:05Z
142535,http://www.marinespecies.org/aphia.php?p=taxdetails&id=142535,Actinoposthia biaculeata,"Faubel, 1974",accepted,NA,220,Species,142535,Actinoposthia biaculeata,"Faubel, 1974",142129,Animalia,Xenacoelomorpha,NA,Acoela,Actinoposthiidae,Actinoposthia,"Tyler, S., Artois, T.; Schilling, S.; Hooge, M.; Bush, L.F. (eds) (2006-2021). World List of turbellarian worms: Acoelomorpha, Catenulida, Rhabditophora. Actinoposthia biaculeata Faubel, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=142535 on 2021-07-19",urn:lsid:marinespecies.org:taxname:142535,1,NA,NA,NA,NA,exact,2004-12-21T15:54:05Z
