AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
378163,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378163,Chiltoniella elongata,"Knox & Fenwick, 1977",accepted,NA,220,Species,378163,Chiltoniella elongata,"Knox & Fenwick, 1977",238275,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Chiltoniella,"WoRMS (2021). Chiltoniella elongata Knox & Fenwick, 1977. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378163 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378163,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
384685,http://www.marinespecies.org/aphia.php?p=taxdetails&id=384685,Hampsonellus brasiliensis,"Hessler & Wakabara, 2000",accepted,NA,220,Species,384685,Hampsonellus brasiliensis,"Hessler & Wakabara, 2000",238276,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Hampsonellus,"WoRMS (2021). Hampsonellus brasiliensis Hessler & Wakabara, 2000. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=384685 on 2021-07-20",urn:lsid:marinespecies.org:taxname:384685,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
378162,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378162,Hutchinsoniella macracantha,"Sanders, 1955",accepted,NA,220,Species,378162,Hutchinsoniella macracantha,"Sanders, 1955",378161,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Hutchinsoniella,"WoRMS (2021). Hutchinsoniella macracantha Sanders, 1955. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378162 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378162,1,NA,NA,NA,NA,exact,2010-09-16T13:36:52.433Z
378165,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378165,Lightiella floridana,"McLaughlin, 1976",accepted,NA,220,Species,378165,Lightiella floridana,"McLaughlin, 1976",238277,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Lightiella,"WoRMS (2021). Lightiella floridana McLaughlin, 1976. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378165 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378165,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
378167,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378167,Lightiella incisa,"Gooding, 1963",accepted,NA,220,Species,378167,Lightiella incisa,"Gooding, 1963",238277,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Lightiella,"WoRMS (2021). Lightiella incisa Gooding, 1963. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378167 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378167,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
345965,http://www.marinespecies.org/aphia.php?p=taxdetails&id=345965,Lightiella magdalenina,"Carcupino, Floris, Addis, Castelli & Curini-Galletti, 2006",accepted,NA,220,Species,345965,Lightiella magdalenina,"Carcupino, Floris, Addis, Castelli & Curini-Galletti, 2006",238277,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Lightiella,"WoRMS (2021). Lightiella magdalenina Carcupino, Floris, Addis, Castelli & Curini-Galletti, 2006. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=345965 on 2021-07-20",urn:lsid:marinespecies.org:taxname:345965,1,NA,NA,NA,0,exact,2008-08-20T12:39:15.650Z
378166,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378166,Lightiella monniotae,"Cals & Delamare Deboutteville, 1970",accepted,NA,220,Species,378166,Lightiella monniotae,"Cals & Delamare Deboutteville, 1970",238277,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Lightiella,"WoRMS (2021). Lightiella monniotae Cals & Delamare Deboutteville, 1970. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378166 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378166,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
378164,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378164,Lightiella serendipita,"Jones, 1961",accepted,NA,220,Species,378164,Lightiella serendipita,"Jones, 1961",238277,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Lightiella,"WoRMS (2021). Lightiella serendipita Jones, 1961. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378164 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378164,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
378168,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378168,Sandersiella acuminata,"Shiino, 1965",accepted,NA,220,Species,378168,Sandersiella acuminata,"Shiino, 1965",238278,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Sandersiella,"WoRMS (2021). Sandersiella acuminata Shiino, 1965. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378168 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378168,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
378170,http://www.marinespecies.org/aphia.php?p=taxdetails&id=378170,Sandersiella bathyalis,"Hessler & Sanders, 1973",accepted,NA,220,Species,378170,Sandersiella bathyalis,"Hessler & Sanders, 1973",238278,Animalia,Arthropoda,Cephalocarida,Brachypoda,Hutchinsoniellidae,Sandersiella,"WoRMS (2021). Sandersiella bathyalis Hessler & Sanders, 1973. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=378170 on 2021-07-20",urn:lsid:marinespecies.org:taxname:378170,1,NA,NA,NA,NA,exact,2009-03-10T10:57:44.420Z
