AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
954624,http://www.marinespecies.org/aphia.php?p=taxdetails&id=954624,Palaeomarachne granulata,"Rudkin, Cuggy, Young & Thompson, 2013",accepted,NA,220,Species,954624,Palaeomarachne granulata,"Rudkin, Cuggy, Young & Thompson, 2013",954623,Animalia,Arthropoda,Pycnogonida,NA,NA,Palaeomarachne,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2021). Pycnobase: World Pycnogonida Database. Palaeomarachne granulata Rudkin, Cuggy, Young & Thompson, 2013&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=954624 on 2021-07-20",urn:lsid:marinespecies.org:taxname:954624,1,NA,NA,0,1,exact,2017-01-31T11:03:43.823Z
954626,http://www.marinespecies.org/aphia.php?p=taxdetails&id=954626,Pentapantopus vogteli,"Kühl, Poschmann & Rust, 2013",accepted,NA,220,Species,954626,Pentapantopus vogteli,"Kühl, Poschmann & Rust, 2013",954625,Animalia,Arthropoda,Pycnogonida,NA,NA,Pentapantopus,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2021). Pycnobase: World Pycnogonida Database. Pentapantopus vogteli Kühl, Poschmann & Rust, 2013&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=954626 on 2021-07-20",urn:lsid:marinespecies.org:taxname:954626,1,NA,NA,0,1,exact,2017-01-31T11:03:43.823Z
1115730,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1115730,Litisedes shirahamaensis,"Oi, 1960",unaccepted,NA,220,Species,510086,Paratheuma shirahamaensis,"(Oi, 1960)",1115729,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Litisedes,"WoRMS (2021). Litisedes shirahamaensis Oi, 1960. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1115730 on 2021-07-20",urn:lsid:marinespecies.org:taxname:1115730,1,NA,NA,1,NA,exact,2018-03-19T06:28:09.240Z
510158,http://www.marinespecies.org/aphia.php?p=taxdetails&id=510158,Neoramia crucifera,"(Hogg, 1909)",accepted,NA,220,Species,510158,Neoramia crucifera,"(Hogg, 1909)",510156,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Neoramia,"WoRMS (2021). Neoramia crucifera (Hogg, 1909). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=510158 on 2021-07-20",urn:lsid:marinespecies.org:taxname:510158,1,NA,NA,1,NA,exact,2010-08-30T06:33:08.163Z
510150,http://www.marinespecies.org/aphia.php?p=taxdetails&id=510150,Oramia chathamensis,"(Simon, 1899)",accepted,NA,220,Species,510150,Oramia chathamensis,"(Simon, 1899)",510149,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Oramia,"WoRMS (2021). Oramia chathamensis (Simon, 1899). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=510150 on 2021-07-20",urn:lsid:marinespecies.org:taxname:510150,1,NA,NA,1,NA,exact,2010-08-30T06:33:08.163Z
510151,http://www.marinespecies.org/aphia.php?p=taxdetails&id=510151,Oramia littoralis,"Forster & Wilton, 1973",accepted,NA,220,Species,510151,Oramia littoralis,"Forster & Wilton, 1973",510149,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Oramia,"WoRMS (2021). Oramia littoralis Forster & Wilton, 1973. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=510151 on 2021-07-20",urn:lsid:marinespecies.org:taxname:510151,1,NA,NA,1,NA,exact,2010-08-30T06:33:08.163Z
510152,http://www.marinespecies.org/aphia.php?p=taxdetails&id=510152,Oramia marplesi,"Forster, 1964",accepted,NA,220,Species,510152,Oramia marplesi,"Forster, 1964",510149,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Oramia,"WoRMS (2021). Oramia marplesi Forster, 1964. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=510152 on 2021-07-20",urn:lsid:marinespecies.org:taxname:510152,1,NA,NA,1,NA,exact,2010-08-30T06:33:08.163Z
510153,http://www.marinespecies.org/aphia.php?p=taxdetails&id=510153,Oramia occidentalia,"(Marples, 1959)",accepted,NA,220,Species,510153,Oramia occidentalia,"(Marples, 1959)",510149,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Oramia,"WoRMS (2021). Oramia occidentalia (Marples, 1959). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=510153 on 2021-07-20",urn:lsid:marinespecies.org:taxname:510153,1,NA,NA,1,NA,exact,2010-08-30T06:33:08.163Z
510154,http://www.marinespecies.org/aphia.php?p=taxdetails&id=510154,Oramia rubrioides,"(Hogg, 1909)",accepted,NA,220,Species,510154,Oramia rubrioides,"(Hogg, 1909)",510149,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Oramia,"WoRMS (2021). Oramia rubrioides (Hogg, 1909). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=510154 on 2021-07-20",urn:lsid:marinespecies.org:taxname:510154,1,NA,NA,1,NA,exact,2010-08-30T06:33:08.163Z
510155,http://www.marinespecies.org/aphia.php?p=taxdetails&id=510155,Oramia solanderensis,"Forster & Wilton, 1973",accepted,NA,220,Species,510155,Oramia solanderensis,"Forster & Wilton, 1973",510149,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Oramia,"WoRMS (2021). Oramia solanderensis Forster & Wilton, 1973. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=510155 on 2021-07-20",urn:lsid:marinespecies.org:taxname:510155,1,NA,NA,1,NA,exact,2010-08-30T06:33:08.163Z
1115714,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1115714,Swainsia armata,"Marples, 1964",unaccepted,NA,220,Species,1115712,Paratheuma armata,"(Marples, 1964)",1115713,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Swainsia,"WoRMS (2021). Swainsia armata Marples, 1964. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1115714 on 2021-07-20",urn:lsid:marinespecies.org:taxname:1115714,1,NA,NA,1,NA,exact,2018-03-19T06:28:09.240Z
