AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
408881,http://www.marinespecies.org/aphia.php?p=taxdetails&id=408881,Altosquilla soelae,"Bruce, 1985",accepted,NA,220,Species,408881,Altosquilla soelae,"Bruce, 1985",408880,Animalia,Arthropoda,Malacostraca,Stomatopoda,Bathysquillidae,Altosquilla,"WoRMS (2021). Altosquilla soelae Bruce, 1985. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=408881 on 2021-07-24",urn:lsid:marinespecies.org:taxname:408881,1,0,0,0,NA,exact,2013-05-06T01:45:13.880Z
408882,http://www.marinespecies.org/aphia.php?p=taxdetails&id=408882,Bathysquilla crassispinosa,"(Fukuda, 1909)",accepted,NA,220,Species,408882,Bathysquilla crassispinosa,"(Fukuda, 1909)",136096,Animalia,Arthropoda,Malacostraca,Stomatopoda,Bathysquillidae,Bathysquilla,"WoRMS (2021). Bathysquilla crassispinosa (Fukuda, 1909). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=408882 on 2021-07-24",urn:lsid:marinespecies.org:taxname:408882,1,0,0,0,NA,exact,2010-07-12T01:09:20.927Z
136116,http://www.marinespecies.org/aphia.php?p=taxdetails&id=136116,Bathysquilla microps,"(Manning, 1961)",accepted,NA,220,Species,136116,Bathysquilla microps,"(Manning, 1961)",136096,Animalia,Arthropoda,Malacostraca,Stomatopoda,Bathysquillidae,Bathysquilla,"WoRMS (2021). Bathysquilla microps (Manning, 1961). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=136116 on 2021-07-24",urn:lsid:marinespecies.org:taxname:136116,1,0,0,0,NA,exact,2010-07-12T01:09:20.927Z
408885,http://www.marinespecies.org/aphia.php?p=taxdetails&id=408885,Indosquilla manihinei,"Ingle & Merrett, 1971",accepted,NA,220,Species,408885,Indosquilla manihinei,"Ingle & Merrett, 1971",408884,Animalia,Arthropoda,Malacostraca,Stomatopoda,Indosquillidae,Indosquilla,"WoRMS (2021). Indosquilla manihinei Ingle & Merrett, 1971. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=408885 on 2021-07-24",urn:lsid:marinespecies.org:taxname:408885,1,0,0,0,NA,exact,2013-07-26T06:17:46.763Z
408889,http://www.marinespecies.org/aphia.php?p=taxdetails&id=408889,Erythrosquilla hamano,"Ahyong, 2001",accepted,NA,220,Species,408889,Erythrosquilla hamano,"Ahyong, 2001",408888,Animalia,Arthropoda,Malacostraca,Stomatopoda,Erythrosquillidae,Erythrosquilla,"WoRMS (2021). Erythrosquilla hamano Ahyong, 2001. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=408889 on 2021-07-24",urn:lsid:marinespecies.org:taxname:408889,1,0,0,0,NA,exact,2010-07-12T01:09:20.927Z
408890,http://www.marinespecies.org/aphia.php?p=taxdetails&id=408890,Erythrosquilla megalops,"Manning & Bruce, 1984",accepted,NA,220,Species,408890,Erythrosquilla megalops,"Manning & Bruce, 1984",408888,Animalia,Arthropoda,Malacostraca,Stomatopoda,Erythrosquillidae,Erythrosquilla,"WoRMS (2021). Erythrosquilla megalops Manning & Bruce, 1984. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=408890 on 2021-07-24",urn:lsid:marinespecies.org:taxname:408890,1,0,0,0,NA,exact,2010-07-12T01:09:20.927Z
1424454,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1424454,Ankersquilla pardus,"Ahyong, Porter & Caldwell, 2020",accepted,NA,220,Species,1424454,Ankersquilla pardus,"Ahyong, Porter & Caldwell, 2020",1424453,Animalia,Arthropoda,Malacostraca,Stomatopoda,Eurysquillidae,Ankersquilla,"WoRMS (2021). Ankersquilla pardus Ahyong, Porter & Caldwell, 2020. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1424454 on 2021-07-24",urn:lsid:marinespecies.org:taxname:1424454,1,0,0,0,0,exact,2020-03-11T00:46:51.567Z
409427,http://www.marinespecies.org/aphia.php?p=taxdetails&id=409427,Coronidopsis andamanensis,"Makarov, 1976",unaccepted,Synonym,220,Species,220294,Coronidopsis bicuspis,"Hansen, 1926",206121,Animalia,Arthropoda,Malacostraca,Stomatopoda,Eurysquillidae,Coronidopsis,"WoRMS (2021). Coronidopsis andamanensis Makarov, 1976. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=409427 on 2021-07-24",urn:lsid:marinespecies.org:taxname:409427,1,0,0,0,NA,exact,2012-09-05T04:28:29.913Z
220294,http://www.marinespecies.org/aphia.php?p=taxdetails&id=220294,Coronidopsis bicuspis,"Hansen, 1926",accepted,NA,220,Species,220294,Coronidopsis bicuspis,"Hansen, 1926",206121,Animalia,Arthropoda,Malacostraca,Stomatopoda,Eurysquillidae,Coronidopsis,"WoRMS (2021). Coronidopsis bicuspis Hansen, 1926. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=220294 on 2021-07-24",urn:lsid:marinespecies.org:taxname:220294,1,0,0,0,NA,exact,2012-09-05T04:28:29.913Z
409429,http://www.marinespecies.org/aphia.php?p=taxdetails&id=409429,Coronidopsis gurjanovae,"Makarov, 1978",unaccepted,Synonym,220,Species,409124,Coronidopsis serenei,"Moosa, 1973",206121,Animalia,Arthropoda,Malacostraca,Stomatopoda,Eurysquillidae,Coronidopsis,"WoRMS (2021). Coronidopsis gurjanovae Makarov, 1978. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=409429 on 2021-07-24",urn:lsid:marinespecies.org:taxname:409429,1,0,0,0,NA,exact,2013-08-06T23:50:23.120Z
