AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
394522,http://www.marinespecies.org/aphia.php?p=taxdetails&id=394522,Scolopendrella notacantha,"Gervais, 1840",accepted,NA,220,Species,394522,Scolopendrella notacantha,"Gervais, 1840",394521,Animalia,Arthropoda,Symphyla,NA,Scolopendrellidae,Scolopendrella,"WoRMS (2021). Scolopendrella notacantha Gervais, 1840. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394522 on 2021-07-20",urn:lsid:marinespecies.org:taxname:394522,1,NA,NA,1,NA,exact,2017-06-29T06:03:09.050Z
489147,http://www.marinespecies.org/aphia.php?p=taxdetails&id=489147,Scolopendrella vulgaris,"Hansen, 1903",unaccepted,NA,220,Species,394531,Symphylella vulgaris,"(Hansen, 1903)",394521,Animalia,Arthropoda,Symphyla,NA,Scolopendrellidae,Scolopendrella,"WoRMS (2021). Scolopendrella vulgaris Hansen, 1903. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=489147 on 2021-07-20",urn:lsid:marinespecies.org:taxname:489147,1,NA,NA,1,NA,exact,2017-06-29T06:03:09.050Z
394528,http://www.marinespecies.org/aphia.php?p=taxdetails&id=394528,Symphylella essigi,"Michelbacher, 1939",accepted,NA,220,Species,394528,Symphylella essigi,"Michelbacher, 1939",394525,Animalia,Arthropoda,Symphyla,NA,Scolopendrellidae,Symphylella,"WoRMS (2021). Symphylella essigi Michelbacher, 1939. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394528 on 2021-07-20",urn:lsid:marinespecies.org:taxname:394528,1,NA,NA,1,NA,exact,2017-06-29T06:03:09.050Z
394526,http://www.marinespecies.org/aphia.php?p=taxdetails&id=394526,Symphylella horrida,"(Bagnall, 1913)",accepted,NA,220,Species,394526,Symphylella horrida,"(Bagnall, 1913)",394525,Animalia,Arthropoda,Symphyla,NA,Scolopendrellidae,Symphylella,"WoRMS (2021). Symphylella horrida (Bagnall, 1913). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394526 on 2021-07-20",urn:lsid:marinespecies.org:taxname:394526,1,NA,NA,NA,NA,exact,2010-07-12T09:08:40.920Z
394531,http://www.marinespecies.org/aphia.php?p=taxdetails&id=394531,Symphylella vulgaris,"(Hansen, 1903)",accepted,NA,220,Species,394531,Symphylella vulgaris,"(Hansen, 1903)",394525,Animalia,Arthropoda,Symphyla,NA,Scolopendrellidae,Symphylella,"WoRMS (2021). Symphylella vulgaris (Hansen, 1903). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394531 on 2021-07-20",urn:lsid:marinespecies.org:taxname:394531,1,NA,NA,1,NA,exact,2017-06-29T06:03:09.050Z
394763,http://www.marinespecies.org/aphia.php?p=taxdetails&id=394763,Lithobius ellipticus,"Takakuwa, 1939",accepted,NA,220,Species,394763,Lithobius ellipticus,"Takakuwa, 1939",394575,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,"Barber, A. D. (2021). World Database of littoral Myriapoda. Lithobius ellipticus Takakuwa, 1939. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394763 on 2021-07-20",urn:lsid:marinespecies.org:taxname:394763,1,0,0,1,NA,exact,2010-07-08T12:30:58.723Z
450027,http://www.marinespecies.org/aphia.php?p=taxdetails&id=450027,Campylostigmus plessisi,"Demange, 1963",accepted,NA,220,Species,450027,Campylostigmus plessisi,"Demange, 1963",450026,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Campylostigmus,"Barber, A. D. (2021). World Database of littoral Myriapoda. Campylostigmus plessisi Demange, 1963. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=450027 on 2021-07-20",urn:lsid:marinespecies.org:taxname:450027,1,0,0,1,NA,exact,2010-07-14T08:54:47.693Z
489005,http://www.marinespecies.org/aphia.php?p=taxdetails&id=489005,Scolopendra flava,"De Geer, 1778",unaccepted,basionym,220,Species,394509,Geophilus flavus,"(De Geer, 1778)",238245,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,"Read, G.; Fauchald, K. (Ed.) (2021). World Polychaeta Database. Scolopendra flava De Geer, 1778. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=489005 on 2021-07-20",urn:lsid:marinespecies.org:taxname:489005,1,0,0,0,NA,exact,2010-07-08T12:30:58.723Z
955520,http://www.marinespecies.org/aphia.php?p=taxdetails&id=955520,"Scolopendra majore,tubularia","Baster, 1760",unaccepted,"non-binominal name, and an annelid",220,Species,130967,Sabella pavonina,"Savigny, 1822",238245,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,"WoRMS (2021). Scolopendra majore,tubularia Baster, 1760. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=955520 on 2021-07-20",urn:lsid:marinespecies.org:taxname:955520,1,0,0,0,0,exact,2020-06-08T09:23:59.320Z
238246,http://www.marinespecies.org/aphia.php?p=taxdetails&id=238246,Scolopendra marina,"Linnaeus, 1758",nomen dubium,indeterminable,220,Species,NA,NA,NA,238245,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,"WoRMS (2021). Scolopendra marina Linnaeus, 1758. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=238246 on 2021-07-20",urn:lsid:marinespecies.org:taxname:238246,1,0,0,0,0,exact,2017-02-14T04:49:58.813Z
