AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
868526,http://www.marinespecies.org/aphia.php?p=taxdetails&id=868526,Tesnusocaris goldichi,"Brooks, 1955",accepted,NA,220,Species,868526,Tesnusocaris goldichi,"Brooks, 1955",868525,Animalia,Arthropoda,Remipedia,Enantiopoda,Tesnusocarididae,Tesnusocaris,"WoRMS (2021). Tesnusocaris goldichi Brooks, 1955&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=868526 on 2021-07-20",urn:lsid:marinespecies.org:taxname:868526,1,NA,NA,NA,1,exact,2016-01-27T12:37:36.040Z
740674,http://www.marinespecies.org/aphia.php?p=taxdetails&id=740674,Angirasu benjamini,"(Yager, 1987)",accepted,NA,220,Species,740674,Angirasu benjamini,"(Yager, 1987)",740673,Animalia,Arthropoda,Remipedia,Nectiopoda,Cryptocorynetidae,Angirasu,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Angirasu benjamini (Yager, 1987). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=740674 on 2021-07-20",urn:lsid:marinespecies.org:taxname:740674,1,NA,NA,NA,NA,exact,2013-09-13T07:54:11.400Z
464013,http://www.marinespecies.org/aphia.php?p=taxdetails&id=464013,Cryptocorynetes elmorei,"Hazerli, Koenemann & Iliffe, 2009",accepted,NA,220,Species,464013,Cryptocorynetes elmorei,"Hazerli, Koenemann & Iliffe, 2009",377293,Animalia,Arthropoda,Remipedia,Nectiopoda,Cryptocorynetidae,Cryptocorynetes,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Cryptocorynetes elmorei Hazerli, Koenemann & Iliffe, 2009. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=464013 on 2021-07-20",urn:lsid:marinespecies.org:taxname:464013,1,NA,NA,NA,0,exact,2010-07-01T08:41:53.280Z
377294,http://www.marinespecies.org/aphia.php?p=taxdetails&id=377294,Cryptocorynetes haptodiscus,"Yager, 1987",accepted,NA,220,Species,377294,Cryptocorynetes haptodiscus,"Yager, 1987",377293,Animalia,Arthropoda,Remipedia,Nectiopoda,Cryptocorynetidae,Cryptocorynetes,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Cryptocorynetes haptodiscus Yager, 1987. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=377294 on 2021-07-20",urn:lsid:marinespecies.org:taxname:377294,1,NA,NA,NA,0,exact,2008-12-09T13:00:40.930Z
377295,http://www.marinespecies.org/aphia.php?p=taxdetails&id=377295,Cryptocorynetes longulus,"Wollermann, Koenemann & Iliffe, 2007",accepted,NA,220,Species,377295,Cryptocorynetes longulus,"Wollermann, Koenemann & Iliffe, 2007",377293,Animalia,Arthropoda,Remipedia,Nectiopoda,Cryptocorynetidae,Cryptocorynetes,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Cryptocorynetes longulus Wollermann, Koenemann & Iliffe, 2007. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=377295 on 2021-07-20",urn:lsid:marinespecies.org:taxname:377295,1,NA,NA,NA,0,exact,2010-07-01T08:41:53.280Z
377292,http://www.marinespecies.org/aphia.php?p=taxdetails&id=377292,Kaloketos pilosus,"Koenemann, Iliffe & Yager, 2004",accepted,NA,220,Species,377292,Kaloketos pilosus,"Koenemann, Iliffe & Yager, 2004",377291,Animalia,Arthropoda,Remipedia,Nectiopoda,Cryptocorynetidae,Kaloketos,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Kaloketos pilosus Koenemann, Iliffe & Yager, 2004. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=377292 on 2021-07-20",urn:lsid:marinespecies.org:taxname:377292,1,NA,NA,NA,0,exact,2010-07-01T08:41:53.280Z
377306,http://www.marinespecies.org/aphia.php?p=taxdetails&id=377306,Godzilliognomus frondosus,"Yager, 1989",accepted,NA,220,Species,377306,Godzilliognomus frondosus,"Yager, 1989",377305,Animalia,Arthropoda,Remipedia,Nectiopoda,Godzilliidae,Godzilliognomus,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Godzilliognomus frondosus Yager, 1989. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=377306 on 2021-07-20",urn:lsid:marinespecies.org:taxname:377306,1,NA,NA,NA,0,exact,2010-03-05T10:51:15.717Z
488007,http://www.marinespecies.org/aphia.php?p=taxdetails&id=488007,Godzilliognomus schrami,"Iliffe, Otten & Koenemann, 2010",accepted,NA,220,Species,488007,Godzilliognomus schrami,"Iliffe, Otten & Koenemann, 2010",377305,Animalia,Arthropoda,Remipedia,Nectiopoda,Godzilliidae,Godzilliognomus,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Godzilliognomus schrami Iliffe, Otten & Koenemann, 2010. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=488007 on 2021-07-20",urn:lsid:marinespecies.org:taxname:488007,1,NA,NA,NA,NA,exact,2010-07-01T08:41:53.280Z
729919,http://www.marinespecies.org/aphia.php?p=taxdetails&id=729919,Godzillius fuchsi,"Gonzalez, Singpiel & Schlagner, 2013",accepted,NA,220,Species,729919,Godzillius fuchsi,"Gonzalez, Singpiel & Schlagner, 2013",377300,Animalia,Arthropoda,Remipedia,Nectiopoda,Godzilliidae,Godzillius,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Godzillius fuchsi Gonzalez, Singpiel & Schlagner, 2013. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=729919 on 2021-07-20",urn:lsid:marinespecies.org:taxname:729919,1,0,0,NA,NA,exact,2013-04-23T13:01:01.480Z
377301,http://www.marinespecies.org/aphia.php?p=taxdetails&id=377301,Godzillius robustus,"Schram, Yager & Emerson, 1986",accepted,NA,220,Species,377301,Godzillius robustus,"Schram, Yager & Emerson, 1986",377300,Animalia,Arthropoda,Remipedia,Nectiopoda,Godzilliidae,Godzillius,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Godzillius robustus Schram, Yager & Emerson, 1986. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=377301 on 2021-07-20",urn:lsid:marinespecies.org:taxname:377301,1,NA,NA,NA,0,exact,2010-07-01T08:41:53.280Z
740648,http://www.marinespecies.org/aphia.php?p=taxdetails&id=740648,Kumonga exleyi,"(Yager & Humphreys, 1996)",accepted,NA,220,Species,740648,Kumonga exleyi,"(Yager & Humphreys, 1996)",740647,Animalia,Arthropoda,Remipedia,Nectiopoda,Kumongidae,Kumonga,"Koenemann, S.; Hoenemann, M.; Stemme T. (2021). World Remipedia Database. Kumonga exleyi (Yager & Humphreys, 1996). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=740648 on 2021-07-20",urn:lsid:marinespecies.org:taxname:740648,1,NA,NA,NA,NA,exact,2013-09-12T14:03:07.780Z
