AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
150313,http://www.marinespecies.org/aphia.php?p=taxdetails&id=150313,Hansenocaris acutifrons,"Îto, 1985",accepted,NA,220,Species,150313,Hansenocaris acutifrons,"Îto, 1985",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris acutifrons Îto, 1985. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=150313 on 2021-07-20",urn:lsid:marinespecies.org:taxname:150313,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
389403,http://www.marinespecies.org/aphia.php?p=taxdetails&id=389403,Hansenocaris corvinae,"Belmonte, 2005",accepted,NA,220,Species,389403,Hansenocaris corvinae,"Belmonte, 2005",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris corvinae Belmonte, 2005. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=389403 on 2021-07-20",urn:lsid:marinespecies.org:taxname:389403,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
150310,http://www.marinespecies.org/aphia.php?p=taxdetails&id=150310,Hansenocaris furcifera,"Îto, 1989",accepted,NA,220,Species,150310,Hansenocaris furcifera,"Îto, 1989",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris furcifera Îto, 1989. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=150310 on 2021-07-20",urn:lsid:marinespecies.org:taxname:150310,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
595408,http://www.marinespecies.org/aphia.php?p=taxdetails&id=595408,Hansenocaris hanseni,"(Steuer, 1905)",nomen dubium,NA,220,Species,595408,Hansenocaris hanseni,"(Steuer, 1905)",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris hanseni (Steuer, 1905). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=595408 on 2021-07-20",urn:lsid:marinespecies.org:taxname:595408,1,NA,NA,NA,NA,exact,2012-02-09T17:00:49.940Z
150308,http://www.marinespecies.org/aphia.php?p=taxdetails&id=150308,Hansenocaris itoi,"Kolbasov & Høeg, 2003",accepted,NA,220,Species,150308,Hansenocaris itoi,"Kolbasov & Høeg, 2003",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris itoi Kolbasov & Høeg, 2003. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=150308 on 2021-07-20",urn:lsid:marinespecies.org:taxname:150308,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
389404,http://www.marinespecies.org/aphia.php?p=taxdetails&id=389404,Hansenocaris leucadea,"Belmonte, 2005",accepted,NA,220,Species,389404,Hansenocaris leucadea,"Belmonte, 2005",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris leucadea Belmonte, 2005. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=389404 on 2021-07-20",urn:lsid:marinespecies.org:taxname:389404,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
389405,http://www.marinespecies.org/aphia.php?p=taxdetails&id=389405,Hansenocaris mediterranea,"Belmonte, 2005",accepted,NA,220,Species,389405,Hansenocaris mediterranea,"Belmonte, 2005",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris mediterranea Belmonte, 2005. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=389405 on 2021-07-20",urn:lsid:marinespecies.org:taxname:389405,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
150312,http://www.marinespecies.org/aphia.php?p=taxdetails&id=150312,Hansenocaris pacifica,"Îto, 1985",accepted,NA,220,Species,150312,Hansenocaris pacifica,"Îto, 1985",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris pacifica Îto, 1985. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=150312 on 2021-07-20",urn:lsid:marinespecies.org:taxname:150312,1,0,0,0,NA,exact,2010-06-10T15:12:08.087Z
595407,http://www.marinespecies.org/aphia.php?p=taxdetails&id=595407,Hansenocaris papillata,"Kolbasov, Grygier, Ivanenko & Vagelli, 2007",accepted,NA,220,Species,595407,Hansenocaris papillata,"Kolbasov, Grygier, Ivanenko & Vagelli, 2007",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris papillata Kolbasov, Grygier, Ivanenko & Vagelli, 2007. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=595407 on 2021-07-20",urn:lsid:marinespecies.org:taxname:595407,1,NA,NA,NA,NA,exact,2012-02-09T17:00:49.940Z
150309,http://www.marinespecies.org/aphia.php?p=taxdetails&id=150309,Hansenocaris rostrata,"Îto, 1985",accepted,NA,220,Species,150309,Hansenocaris rostrata,"Îto, 1985",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris rostrata Îto, 1985. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=150309 on 2021-07-20",urn:lsid:marinespecies.org:taxname:150309,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
389406,http://www.marinespecies.org/aphia.php?p=taxdetails&id=389406,Hansenocaris salentina,"Belmonte, 2005",accepted,NA,220,Species,389406,Hansenocaris salentina,"Belmonte, 2005",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris salentina Belmonte, 2005. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=389406 on 2021-07-20",urn:lsid:marinespecies.org:taxname:389406,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
150311,http://www.marinespecies.org/aphia.php?p=taxdetails&id=150311,Hansenocaris tentaculata,"Îto, 1986",accepted,NA,220,Species,150311,Hansenocaris tentaculata,"Îto, 1986",150307,Animalia,Arthropoda,Thecostraca,NA,NA,Hansenocaris,"WoRMS (2021). Hansenocaris tentaculata Îto, 1986. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=150311 on 2021-07-20",urn:lsid:marinespecies.org:taxname:150311,1,NA,NA,NA,NA,exact,2010-06-10T15:12:08.087Z
429595,http://www.marinespecies.org/aphia.php?p=taxdetails&id=429595,Ascothorax brattstroemi,"Grygier, 1983",accepted,NA,220,Species,429595,Ascothorax brattstroemi,"Grygier, 1983",103955,Animalia,Arthropoda,Thecostraca,Dendrogastrida,Ascothoracidae,Ascothorax,"Grygier, M. J. (2021). World Ascothoracida Database. Ascothorax brattstroemi Grygier, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=429595 on 2021-07-20",urn:lsid:marinespecies.org:taxname:429595,1,NA,NA,NA,NA,exact,2009-11-06T13:04:49.710Z
174169,http://www.marinespecies.org/aphia.php?p=taxdetails&id=174169,Ascothorax bulbosus,"Heegaard, 1951",accepted,NA,220,Species,174169,Ascothorax bulbosus,"Heegaard, 1951",103955,Animalia,Arthropoda,Thecostraca,Dendrogastrida,Ascothoracidae,Ascothorax,"Grygier, M. J. (2021). World Ascothoracida Database. Ascothorax bulbosus Heegaard, 1951. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=174169 on 2021-07-20",urn:lsid:marinespecies.org:taxname:174169,1,NA,NA,NA,NA,exact,2009-11-06T13:04:49.710Z
174172,http://www.marinespecies.org/aphia.php?p=taxdetails&id=174172,Ascothorax gigas,"Wagin, 1968",accepted,NA,220,Species,174172,Ascothorax gigas,"Wagin, 1968",103955,Animalia,Arthropoda,Thecostraca,Dendrogastrida,Ascothoracidae,Ascothorax,"Grygier, M. J. (2021). World Ascothoracida Database. Ascothorax gigas Wagin, 1968. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=174172 on 2021-07-20",urn:lsid:marinespecies.org:taxname:174172,1,NA,NA,NA,NA,exact,2009-11-06T13:04:49.710Z
429598,http://www.marinespecies.org/aphia.php?p=taxdetails&id=429598,Ascothorax mortenseni,"Grygier, 1983",accepted,NA,220,Species,429598,Ascothorax mortenseni,"Grygier, 1983",103955,Animalia,Arthropoda,Thecostraca,Dendrogastrida,Ascothoracidae,Ascothorax,"Grygier, M. J. (2021). World Ascothoracida Database. Ascothorax mortenseni Grygier, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=429598 on 2021-07-20",urn:lsid:marinespecies.org:taxname:429598,1,NA,NA,NA,NA,exact,2009-11-06T13:04:49.710Z
429600,http://www.marinespecies.org/aphia.php?p=taxdetails&id=429600,Ascothorax octopterus,"Grygier, 1983",accepted,NA,220,Species,429600,Ascothorax octopterus,"Grygier, 1983",103955,Animalia,Arthropoda,Thecostraca,Dendrogastrida,Ascothoracidae,Ascothorax,"Grygier, M. J. (2021). World Ascothoracida Database. Ascothorax octopterus Grygier, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=429600 on 2021-07-20",urn:lsid:marinespecies.org:taxname:429600,1,NA,NA,NA,NA,exact,2009-11-06T13:04:49.710Z
103963,http://www.marinespecies.org/aphia.php?p=taxdetails&id=103963,Ascothorax ophioctenis,"Djakonov, 1914",accepted,NA,220,Species,103963,Ascothorax ophioctenis,"Djakonov, 1914",103955,Animalia,Arthropoda,Thecostraca,Dendrogastrida,Ascothoracidae,Ascothorax,"Grygier, M. J. (2021). World Ascothoracida Database. Ascothorax ophioctenis Djakonov, 1914. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103963 on 2021-07-20",urn:lsid:marinespecies.org:taxname:103963,1,NA,NA,NA,NA,exact,2009-11-06T13:04:49.710Z
103964,http://www.marinespecies.org/aphia.php?p=taxdetails&id=103964,Ascothorax pilocaudatus,"Grygier, 1983",accepted,NA,220,Species,103964,Ascothorax pilocaudatus,"Grygier, 1983",103955,Animalia,Arthropoda,Thecostraca,Dendrogastrida,Ascothoracidae,Ascothorax,"Grygier, M. J. (2021). World Ascothoracida Database. Ascothorax pilocaudatus Grygier, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103964 on 2021-07-20",urn:lsid:marinespecies.org:taxname:103964,1,NA,NA,NA,NA,exact,2009-11-06T13:04:49.710Z
