AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
221121,http://www.marinespecies.org/aphia.php?p=taxdetails&id=221121,Amphioxides stenurus,"Goldschmidt, 1905",unaccepted,NA,220,Species,221006,Asymmetron lucayanum,"Andrews, 1893",205671,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Amphioxides,"WoRMS (2021). Amphioxides stenurus Goldschmidt, 1905. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=221121 on 2021-07-19",urn:lsid:marinespecies.org:taxname:221121,1,NA,NA,NA,NA,exact,2013-05-06T10:14:28.297Z
221120,http://www.marinespecies.org/aphia.php?p=taxdetails&id=221120,Amphioxides valdiviae,"Goldschmidt, 1905",unaccepted,NA,220,Species,221006,Asymmetron lucayanum,"Andrews, 1893",205671,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Amphioxides,"WoRMS (2021). Amphioxides valdiviae Goldschmidt, 1905. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=221120 on 2021-07-19",urn:lsid:marinespecies.org:taxname:221120,1,NA,NA,NA,NA,exact,2013-05-06T10:14:28.297Z
1346048,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1346048,Amphioxus belcheri,"Gray, 1847",unaccepted,NA,220,Species,214516,Branchiostoma belcheri,"(Gray, 1847)",104900,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Amphioxus,"WoRMS (2021). Amphioxus belcheri Gray, 1847. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1346048 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1346048,1,0,0,0,NA,exact,2019-05-13T07:53:10.220Z
221122,http://www.marinespecies.org/aphia.php?p=taxdetails&id=221122,Amphioxus japonicus,"Willey, 1897",unaccepted,NA,220,Species,730523,Branchiostoma japonicum,"(Willey, 1897)",104900,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Amphioxus,"WoRMS (2021). Amphioxus japonicus Willey, 1897. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=221122 on 2021-07-19",urn:lsid:marinespecies.org:taxname:221122,1,NA,NA,NA,NA,exact,2015-08-20T06:53:20.390Z
104904,http://www.marinespecies.org/aphia.php?p=taxdetails&id=104904,Amphioxus lanceolatus,"(Pallas, 1774)",unaccepted,synonym,220,Species,104906,Branchiostoma lanceolatum,"(Pallas, 1774)",104900,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Amphioxus,"WoRMS (2021). Amphioxus lanceolatus (Pallas, 1774). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=104904 on 2021-07-19",urn:lsid:marinespecies.org:taxname:104904,1,NA,NA,NA,NA,exact,2015-08-20T06:53:20.390Z
268128,http://www.marinespecies.org/aphia.php?p=taxdetails&id=268128,Assymetron australis,"Raffe, 1912",unaccepted,synonym,220,Species,266220,Epigonichthys australis,"(Raffe, 1912)",266925,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Assymetron,"WoRMS (2021). Assymetron australis Raffe, 1912. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=268128 on 2021-07-19",urn:lsid:marinespecies.org:taxname:268128,1,NA,NA,NA,NA,exact,2013-05-06T10:14:28.297Z
268129,http://www.marinespecies.org/aphia.php?p=taxdetails&id=268129,Assymetron maldivensis,"(Forster Cooper, 1903)",unaccepted,synonym,220,Species,212958,Epigonichthys maldivensis,"(Forster Cooper, 1903)",266925,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Assymetron,"WoRMS (2021). Assymetron maldivensis (Forster Cooper, 1903). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=268129 on 2021-07-19",urn:lsid:marinespecies.org:taxname:268129,1,NA,NA,NA,NA,exact,2015-08-20T06:53:20.390Z
104905,http://www.marinespecies.org/aphia.php?p=taxdetails&id=104905,Asymetron lucayanum,NA,unaccepted,spelling mistake,220,Species,221006,Asymmetron lucayanum,"Andrews, 1893",104901,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Asymetron,WoRMS (2021). Asymetron lucayanum. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=104905 on 2021-07-19,urn:lsid:marinespecies.org:taxname:104905,1,NA,NA,NA,NA,exact,2013-05-06T10:14:28.297Z
221009,http://www.marinespecies.org/aphia.php?p=taxdetails&id=221009,Asymmetron caudatum,"Willey, 1896",unaccepted,NA,220,Species,221006,Asymmetron lucayanum,"Andrews, 1893",204119,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Asymmetron,"WoRMS (2021). Asymmetron caudatum Willey, 1896. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=221009 on 2021-07-19",urn:lsid:marinespecies.org:taxname:221009,1,NA,NA,NA,NA,exact,2013-05-06T10:14:28.297Z
266627,http://www.marinespecies.org/aphia.php?p=taxdetails&id=266627,Asymmetron inferum,"Nishikawa, 2004",accepted,NA,220,Species,266627,Asymmetron inferum,"Nishikawa, 2004",204119,Animalia,Chordata,Leptocardii,NA,Branchiostomatidae,Asymmetron,"WoRMS (2021). Asymmetron inferum Nishikawa, 2004. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=266627 on 2021-07-19",urn:lsid:marinespecies.org:taxname:266627,1,NA,NA,NA,NA,exact,2013-05-06T11:48:28.400Z
