AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
399792,http://www.marinespecies.org/aphia.php?p=taxdetails&id=399792,Callorhinchus callorhynchus,"(Linnaeus, 1758)",unaccepted,misspelling,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",205766,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhinchus callorhynchus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=399792 on 2021-07-19",urn:lsid:marinespecies.org:taxname:399792,1,0,0,NA,NA,exact,2009-06-15T12:24:27.480Z
278468,http://www.marinespecies.org/aphia.php?p=taxdetails&id=278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",accepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",205766,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhinchus callorynchus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=278468 on 2021-07-19",urn:lsid:marinespecies.org:taxname:278468,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
221460,http://www.marinespecies.org/aphia.php?p=taxdetails&id=221460,Callorhinchus capensis,"Duméril, 1865",accepted,NA,220,Species,221460,Callorhinchus capensis,"Duméril, 1865",205766,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhinchus capensis Duméril, 1865. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=221460 on 2021-07-19",urn:lsid:marinespecies.org:taxname:221460,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
278469,http://www.marinespecies.org/aphia.php?p=taxdetails&id=278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",accepted,NA,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",205766,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhinchus milii Bory de Saint-Vincent, 1823. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=278469 on 2021-07-19",urn:lsid:marinespecies.org:taxname:278469,1,1,0,0,NA,exact,2020-09-24T06:35:24.693Z
316801,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316801,Callorhynchus antarctica,"Swainson, 1839",unaccepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus antarctica Swainson, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316801 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316801,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316802,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316802,Callorhynchus antarcticus,"Lay & Bennett, 1839",unaccepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus antarcticus Lay & Bennett, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316802 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316802,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316803,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316803,Callorhynchus antarcticus,"Fleming, 1822",unaccepted,misspelling,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus antarcticus Fleming, 1822. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316803 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316803,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316804,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316804,Callorhynchus argenteus,"Philippi, 1892",unaccepted,synonym,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus argenteus Philippi, 1892. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316804 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316804,1,0,0,0,NA,exact,2017-08-17T13:35:34.540Z
316805,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316805,Callorhynchus australis,"Owen, 1854",unaccepted,synonym,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus australis Owen, 1854. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316805 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316805,1,1,0,0,NA,exact,2019-11-06T07:51:53.973Z
399793,http://www.marinespecies.org/aphia.php?p=taxdetails&id=399793,Callorhynchus callorhynchus,"(Linnaeus, 1758)",unaccepted,misspelling,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus callorhynchus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=399793 on 2021-07-19",urn:lsid:marinespecies.org:taxname:399793,1,0,0,NA,NA,exact,2009-06-15T12:24:27.480Z
316806,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316806,Callorhynchus capensis,"Duméril, 1865",unaccepted,NA,220,Species,221460,Callorhinchus capensis,"Duméril, 1865",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus capensis Duméril, 1865. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316806 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316806,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316807,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316807,Callorhynchus dasycaudatus,"Colenso, 1879",unaccepted,synonym,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus dasycaudatus Colenso, 1879. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316807 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316807,1,1,0,0,NA,exact,2019-11-21T07:49:34.450Z
316808,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316808,Callorhynchus elephantinus,"Bory de Saint-Vincent, 1823",unaccepted,misspelling,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus elephantinus Bory de Saint-Vincent, 1823. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316808 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316808,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
399797,http://www.marinespecies.org/aphia.php?p=taxdetails&id=399797,Callorhynchus milii,"Bory de Saint-Vincent, 1823",unaccepted,misspelling,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus milii Bory de Saint-Vincent, 1823. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=399797 on 2021-07-19",urn:lsid:marinespecies.org:taxname:399797,1,0,0,NA,NA,exact,2009-06-15T12:24:27.480Z
399795,http://www.marinespecies.org/aphia.php?p=taxdetails&id=399795,Callorhynchus milli,"Bory de Saint-Vincent, 1823",unaccepted,misspelling,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus milli Bory de Saint-Vincent, 1823. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=399795 on 2021-07-19",urn:lsid:marinespecies.org:taxname:399795,1,0,0,NA,NA,exact,2009-06-15T12:24:27.480Z
399796,http://www.marinespecies.org/aphia.php?p=taxdetails&id=399796,Callorhynchus millii,"Bory de Saint-Vincent, 1823",unaccepted,misspelling,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus millii Bory de Saint-Vincent, 1823. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=399796 on 2021-07-19",urn:lsid:marinespecies.org:taxname:399796,1,0,0,NA,NA,exact,2009-06-15T12:24:27.480Z
316809,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316809,Callorhynchus peronii,"Duméril, 1865",unaccepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus peronii Duméril, 1865. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316809 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316809,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316810,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316810,Callorhynchus smythii,"Lay & Bennett, 1839",unaccepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus smythii Lay & Bennett, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316810 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316810,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316811,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316811,Callorhynchus tasmanius,"Richardson, 1840",unaccepted,synonym,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus tasmanius Richardson, 1840. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316811 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316811,1,0,0,0,NA,exact,2017-08-17T13:35:34.540Z
316812,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316812,Callorhynchus tritoris,"Garman, 1904",unaccepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296237,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorhynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorhynchus tritoris Garman, 1904. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316812 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316812,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316813,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316813,Callorynchus callorynchus,"Meuschen, 1778",unaccepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296238,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorynchus callorynchus Meuschen, 1778. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316813 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316813,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
316814,http://www.marinespecies.org/aphia.php?p=taxdetails&id=316814,Callorynchus elephantinus,"Gronow, 1854",unaccepted,NA,220,Species,278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",296238,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorynchus elephantinus Gronow, 1854. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=316814 on 2021-07-19",urn:lsid:marinespecies.org:taxname:316814,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
712997,http://www.marinespecies.org/aphia.php?p=taxdetails&id=712997,Callorynchus milii,"Bory de Saint-Vincent, 1823",unaccepted,synonym,220,Species,278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",296238,Animalia,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,Callorynchus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Callorynchus milii Bory de Saint-Vincent, 1823. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=712997 on 2021-07-19",urn:lsid:marinespecies.org:taxname:712997,1,1,0,0,NA,exact,2019-10-31T08:14:00.613Z
298532,http://www.marinespecies.org/aphia.php?p=taxdetails&id=298532,Chimaera abbreviata,"Gill, 1883",unaccepted,NA,220,Species,105825,Hydrolagus affinis,"(de Brito Capello, 1868)",105733,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Chimaera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chimaera abbreviata Gill, 1883. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=298532 on 2021-07-19",urn:lsid:marinespecies.org:taxname:298532,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
298533,http://www.marinespecies.org/aphia.php?p=taxdetails&id=298533,Chimaera affinis,"de Brito Capello, 1868",unaccepted,NA,220,Species,105825,Hydrolagus affinis,"(de Brito Capello, 1868)",105733,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Chimaera,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Chimaera affinis de Brito Capello, 1868. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=298533 on 2021-07-19",urn:lsid:marinespecies.org:taxname:298533,1,0,0,NA,NA,exact,2008-02-28T13:41:07.550Z
