AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
234686,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234686,Geotria australis,"Gray, 1851",accepted,NA,220,Species,234686,Geotria australis,"Gray, 1851",234558,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Geotriidae,Geotria,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Geotria australis Gray, 1851. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=234686 on 2021-07-19",urn:lsid:marinespecies.org:taxname:234686,1,1,1,0,NA,exact,2008-01-15T17:27:08.177Z
313398,http://www.marinespecies.org/aphia.php?p=taxdetails&id=313398,Geotria gallegensis,"Smitt, 1901",unaccepted,NA,220,Species,234686,Geotria australis,"Gray, 1851",234558,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Geotriidae,Geotria,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Geotria gallegensis Smitt, 1901. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=313398 on 2021-07-19",urn:lsid:marinespecies.org:taxname:313398,1,1,1,NA,NA,exact,2008-02-28T13:41:07.550Z
281594,http://www.marinespecies.org/aphia.php?p=taxdetails&id=281594,Mordacia lapicida,"(Gray, 1851)",accepted,NA,220,Species,281594,Mordacia lapicida,"(Gray, 1851)",269913,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Mordaciidae,Mordacia,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Mordacia lapicida (Gray, 1851). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=281594 on 2021-07-19",urn:lsid:marinespecies.org:taxname:281594,1,1,1,0,NA,exact,2008-01-15T17:27:08.177Z
281595,http://www.marinespecies.org/aphia.php?p=taxdetails&id=281595,Mordacia mordax,"(Richardson, 1846)",accepted,NA,220,Species,281595,Mordacia mordax,"(Richardson, 1846)",269913,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Mordaciidae,Mordacia,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Mordacia mordax (Richardson, 1846). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=281595 on 2021-07-19",urn:lsid:marinespecies.org:taxname:281595,1,1,1,0,NA,exact,2008-01-15T17:27:08.177Z
280039,http://www.marinespecies.org/aphia.php?p=taxdetails&id=280039,Caspiomyzon wagneri,"(Kessler, 1870)",accepted,NA,220,Species,280039,Caspiomyzon wagneri,"(Kessler, 1870)",268664,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Caspiomyzon,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Caspiomyzon wagneri (Kessler, 1870). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=280039 on 2021-07-19",urn:lsid:marinespecies.org:taxname:280039,1,1,1,0,NA,exact,2008-01-15T17:27:08.177Z
314345,http://www.marinespecies.org/aphia.php?p=taxdetails&id=314345,Entosphenus epihexodon,"Gill, 1862",unaccepted,synonym,220,Species,314348,Entosphenus tridentatus,"(Richardson, 1836)",269077,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Entosphenus epihexodon Gill, 1862. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=314345 on 2021-07-19",urn:lsid:marinespecies.org:taxname:314345,1,1,1,0,NA,exact,2019-11-07T08:15:40.973Z
314346,http://www.marinespecies.org/aphia.php?p=taxdetails&id=314346,Entosphenus japonicus,"(Martens, 1868)",unaccepted,NA,220,Species,101173,Lethenteron camtschaticum,"(Tilesius, 1811)",269077,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Entosphenus japonicus (Martens, 1868). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=314346 on 2021-07-19",urn:lsid:marinespecies.org:taxname:314346,1,1,1,NA,NA,exact,2013-01-08T14:50:09.150Z
314347,http://www.marinespecies.org/aphia.php?p=taxdetails&id=314347,Entosphenus reissneri,"(Dybowski, 1869)",unaccepted,NA,220,Species,298381,Lethenteron reissneri,"(Dybowski, 1869)",269077,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Entosphenus reissneri (Dybowski, 1869). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=314347 on 2021-07-19",urn:lsid:marinespecies.org:taxname:314347,1,1,1,NA,NA,exact,2013-01-08T14:50:09.150Z
314348,http://www.marinespecies.org/aphia.php?p=taxdetails&id=314348,Entosphenus tridentatus,"(Richardson, 1836)",accepted,NA,220,Species,314348,Entosphenus tridentatus,"(Richardson, 1836)",269077,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Entosphenus,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Entosphenus tridentatus (Richardson, 1836). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=314348 on 2021-07-19",urn:lsid:marinespecies.org:taxname:314348,1,1,1,NA,NA,exact,2013-01-08T11:20:45.073Z
298372,http://www.marinespecies.org/aphia.php?p=taxdetails&id=298372,Lampetra aurea,"(Bean, 1881)",unaccepted,NA,220,Species,101173,Lethenteron camtschaticum,"(Tilesius, 1811)",101167,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Lampetra,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Lampetra aurea (Bean, 1881). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=298372 on 2021-07-19",urn:lsid:marinespecies.org:taxname:298372,1,1,1,NA,NA,exact,2013-01-08T14:50:09.150Z
