AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1458531,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1458531,Eokinorhynchus rarus,"Zhang, Xiao, Liu, Yuan, Wan, Muscente, Shao, Gong & Cao, 2015",accepted,NA,220,Species,1458531,Eokinorhynchus rarus,"Zhang, Xiao, Liu, Yuan, Wan, Muscente, Shao, Gong & Cao, 2015",1458530,Animalia,Kinorhyncha,NA,NA,NA,Eokinorhynchus,"Neuhaus, B. (2021). World Kinorhyncha Database. Eokinorhynchus rarus Zhang, Xiao, Liu, Yuan, Wan, Muscente, Shao, Gong & Cao, 2015&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1458531 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1458531,1,NA,NA,NA,1,exact,2020-09-10T07:11:27.707Z
1466024,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1466024,Zhongpingscolex qinensis,"Zhang & Liu, 2020",accepted,NA,220,Species,1466024,Zhongpingscolex qinensis,"Zhang & Liu, 2020",1466021,Animalia,Kinorhyncha,NA,NA,NA,Zhongpingscolex,"Neuhaus, B. (2021). World Kinorhyncha Database. Zhongpingscolex qinensis Zhang & Liu, 2020&nbsp;&#8224;. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1466024 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1466024,1,NA,NA,NA,1,exact,2020-11-13T13:21:55.310Z
265921,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265921,Dracoderes abei,"Higgins & Shirayama, 1990",accepted,NA,220,Species,265921,Dracoderes abei,"Higgins & Shirayama, 1990",264982,Animalia,Kinorhyncha,Allomalorhagida,NA,Dracoderidae,Dracoderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Dracoderes abei Higgins & Shirayama, 1990. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265921 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265921,1,NA,NA,NA,NA,exact,2013-05-30T09:28:44.403Z
731298,http://www.marinespecies.org/aphia.php?p=taxdetails&id=731298,Dracoderes gallaicus,"Sørensen, Herranz, Rho, Min, Yamasaki, Sánchez & Pardos, 2012",accepted,NA,220,Species,731298,Dracoderes gallaicus,"Sørensen, Herranz, Rho, Min, Yamasaki, Sánchez & Pardos, 2012",264982,Animalia,Kinorhyncha,Allomalorhagida,NA,Dracoderidae,Dracoderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Dracoderes gallaicus Sørensen, Herranz, Rho, Min, Yamasaki, Sánchez & Pardos, 2012. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=731298 on 2021-07-19",urn:lsid:marinespecies.org:taxname:731298,1,NA,NA,NA,NA,exact,2013-05-31T11:22:29.693Z
1433162,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433162,Dracoderes nidhug,"Thomsen, Rho, Kim & Sørensen, 2013",accepted,NA,220,Species,1433162,Dracoderes nidhug,"Thomsen, Rho, Kim & Sørensen, 2013",264982,Animalia,Kinorhyncha,Allomalorhagida,NA,Dracoderidae,Dracoderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Dracoderes nidhug Thomsen, Rho, Kim & Sørensen, 2013. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433162 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1433162,1,NA,NA,NA,NA,exact,2020-04-22T07:06:17.823Z
265922,http://www.marinespecies.org/aphia.php?p=taxdetails&id=265922,Dracoderes orientalis,"Adrianov, 1999 in Adrianov & Malakhov, 1999",accepted,NA,220,Species,265922,Dracoderes orientalis,"Adrianov, 1999 in Adrianov & Malakhov, 1999",264982,Animalia,Kinorhyncha,Allomalorhagida,NA,Dracoderidae,Dracoderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Dracoderes orientalis Adrianov, 1999 in Adrianov & Malakhov, 1999. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=265922 on 2021-07-19",urn:lsid:marinespecies.org:taxname:265922,1,NA,NA,NA,NA,exact,2013-05-31T11:22:29.693Z
1433177,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433177,Dracoderes snufkini,"Yamasaki, 2015",accepted,NA,220,Species,1433177,Dracoderes snufkini,"Yamasaki, 2015",264982,Animalia,Kinorhyncha,Allomalorhagida,NA,Dracoderidae,Dracoderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Dracoderes snufkini Yamasaki, 2015. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433177 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1433177,1,NA,NA,NA,NA,exact,2020-04-22T07:06:17.823Z
1433077,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433077,Dracoderes spyro,"Cepeda, Pardos & Sánchez, 2019",accepted,NA,220,Species,1433077,Dracoderes spyro,"Cepeda, Pardos & Sánchez, 2019",264982,Animalia,Kinorhyncha,Allomalorhagida,NA,Dracoderidae,Dracoderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Dracoderes spyro Cepeda, Pardos & Sánchez, 2019. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433077 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1433077,1,NA,NA,NA,NA,exact,2020-04-29T07:49:45.050Z
1433178,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433178,Dracoderes toyoshioae,"Yamasaki, 2015",accepted,NA,220,Species,1433178,Dracoderes toyoshioae,"Yamasaki, 2015",264982,Animalia,Kinorhyncha,Allomalorhagida,NA,Dracoderidae,Dracoderes,"Neuhaus, B. (2021). World Kinorhyncha Database. Dracoderes toyoshioae Yamasaki, 2015. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433178 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1433178,1,NA,NA,NA,NA,exact,2020-04-22T07:06:17.823Z
1433087,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433087,Franciscideres kalenesos,"Dal Zotto, Di Domenico, Garraffoni & Sørensen, 2013",accepted,NA,220,Species,1433087,Franciscideres kalenesos,"Dal Zotto, Di Domenico, Garraffoni & Sørensen, 2013",1433086,Animalia,Kinorhyncha,Allomalorhagida,NA,Franciscideridae,Franciscideres,"Neuhaus, B. (2021). World Kinorhyncha Database. Franciscideres kalenesos Dal Zotto, Di Domenico, Garraffoni & Sørensen, 2013. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1433087 on 2021-07-19",urn:lsid:marinespecies.org:taxname:1433087,1,NA,NA,NA,NA,exact,2020-05-04T14:12:59.887Z
