AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
886665,http://www.marinespecies.org/aphia.php?p=taxdetails&id=886665,Alligator mississippiensis,"(Daudin, 1802)",accepted,NA,220,Species,886665,Alligator mississippiensis,"(Daudin, 1802)",886664,Animalia,Chordata,Crocodylia,NA,Alligatoridae,Alligator,"Uetz, P. (ed.) (2021). The Reptile Database. Alligator mississippiensis (Daudin, 1802). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=886665 on 2021-07-20",urn:lsid:marinespecies.org:taxname:886665,0,1,1,NA,NA,exact,2016-09-26T06:07:08.197Z
1377290,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1377290,Crocodilus acutus,"Cuvier, 1807",unaccepted,NA,220,Species,422566,Crocodylus acutus,"(Cuvier, 1807)",1377289,Animalia,Chordata,Crocodylia,NA,Crocodylidae,Crocodilus,"WoRMS (2021). Crocodilus acutus Cuvier, 1807. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1377290 on 2021-07-20",urn:lsid:marinespecies.org:taxname:1377290,1,NA,NA,NA,NA,exact,2019-09-16T06:11:02.890Z
422566,http://www.marinespecies.org/aphia.php?p=taxdetails&id=422566,Crocodylus acutus,"(Cuvier, 1807)",accepted,NA,220,Species,422566,Crocodylus acutus,"(Cuvier, 1807)",343595,Animalia,Chordata,Crocodylia,NA,Crocodylidae,Crocodylus,"Uetz, P. (ed.) (2021). The Reptile Database. Crocodylus acutus (Cuvier, 1807). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=422566 on 2021-07-20",urn:lsid:marinespecies.org:taxname:422566,1,1,NA,NA,NA,exact,2019-09-16T06:11:02.890Z
344030,http://www.marinespecies.org/aphia.php?p=taxdetails&id=344030,Crocodylus porosus,"Schneider, 1801",accepted,NA,220,Species,344030,Crocodylus porosus,"Schneider, 1801",343595,Animalia,Chordata,Crocodylia,NA,Crocodylidae,Crocodylus,"Uetz, P. (ed.) (2021). The Reptile Database. Crocodylus porosus Schneider, 1801. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=344030 on 2021-07-20",urn:lsid:marinespecies.org:taxname:344030,1,NA,NA,NA,NA,exact,2009-07-01T09:53:39.407Z
344019,http://www.marinespecies.org/aphia.php?p=taxdetails&id=344019,Amblyrhynchus cristatus,"Bell, 1825",accepted,NA,220,Species,344019,Amblyrhynchus cristatus,"Bell, 1825",343587,Animalia,Chordata,NA,Sauria,Iguanidae,Amblyrhynchus,"Uetz, P. (ed.) (2021). The Reptile Database. Amblyrhynchus cristatus Bell, 1825. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=344019 on 2021-07-20",urn:lsid:marinespecies.org:taxname:344019,1,NA,NA,NA,NA,exact,2009-07-01T09:53:39.407Z
1451676,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1451676,Oryzomys palustris,"(Harlan, 1837)",accepted,NA,220,Species,1451676,Oryzomys palustris,"(Harlan, 1837)",1451675,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,"WoRMS (2021). Oryzomys palustris (Harlan, 1837). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1451676 on 2021-07-20",urn:lsid:marinespecies.org:taxname:1451676,NA,1,1,1,NA,exact,2020-08-04T07:26:30.613Z
404082,http://www.marinespecies.org/aphia.php?p=taxdetails&id=404082,Hydromys chrysogaster,"É. Geoffroy, 1804",accepted,NA,220,Species,404082,Hydromys chrysogaster,"É. Geoffroy, 1804",404081,Animalia,Chordata,Mammalia,Rodentia,Muridae,Hydromys,"WoRMS (2021). Hydromys chrysogaster É. Geoffroy, 1804. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=404082 on 2021-07-20",urn:lsid:marinespecies.org:taxname:404082,NA,1,1,NA,NA,exact,2009-06-19T10:41:53.550Z
1458307,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1458307,Eotherium aegyptiacum,"Owen, 1875",unaccepted,NA,220,Species,1458306,Eotheroides aegyptiacum,"(Owen, 1875) Trouessart, 1905",1458304,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Eotherium,"WoRMS (2021). Eotherium aegyptiacum Owen, 1875&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1458307 on 2021-07-20",urn:lsid:marinespecies.org:taxname:1458307,1,NA,NA,NA,1,exact,2020-09-08T06:03:09.103Z
1458305,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1458305,Eotherium stromeri,"Sickenberg, 1934",unaccepted,NA,220,Species,1458302,Eosiren stromeri,"(Sickenberg, 1934) Kordos, 1977",1458304,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Eotherium,"WoRMS (2021). Eotherium stromeri Sickenberg, 1934&nbsp;&#8224;. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1458305 on 2021-07-20",urn:lsid:marinespecies.org:taxname:1458305,1,NA,NA,NA,1,exact,2020-09-08T06:03:09.103Z
1348426,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1348426,Manati gigas,"Zimmermann, 1780",unaccepted,Genus on Official List of Rejected & Invalid Names: ICZN Opinion 1320,220,Species,255025,Hydrodamalis gigas,"(Zimmermann, 1780) Palmer, 1895",1348027,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Manati,"WoRMS (2021). Manati gigas Zimmermann, 1780. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1348426 on 2021-07-20",urn:lsid:marinespecies.org:taxname:1348426,1,0,0,0,NA,exact,2019-05-28T19:18:56.940Z
