AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
512006,http://www.marinespecies.org/aphia.php?p=taxdetails&id=512006,Kowalevskia mossi,"Garstang, 1892",unaccepted,NA,220,Species,103392,Kowalevskia tenuis,"Fol, 1872",103360,Animalia,Chordata,Appendicularia,Copelata,Kowalevskiidae,Kowalevskia,"Hopcroft, R. (2021). World List of Appendicularia. Kowalevskia mossi Garstang, 1892. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=512006 on 2021-07-19",urn:lsid:marinespecies.org:taxname:512006,1,NA,NA,NA,NA,exact,2010-09-01T21:48:56.460Z
103391,http://www.marinespecies.org/aphia.php?p=taxdetails&id=103391,Kowalevskia oceanica,"Lohmann, 1899",accepted,NA,220,Species,103391,Kowalevskia oceanica,"Lohmann, 1899",103360,Animalia,Chordata,Appendicularia,Copelata,Kowalevskiidae,Kowalevskia,"Hopcroft, R. (2021). World List of Appendicularia. Kowalevskia oceanica Lohmann, 1899. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103391 on 2021-07-19",urn:lsid:marinespecies.org:taxname:103391,1,NA,NA,NA,NA,exact,2008-04-10T13:29:43.590Z
103392,http://www.marinespecies.org/aphia.php?p=taxdetails&id=103392,Kowalevskia tenuis,"Fol, 1872",accepted,NA,220,Species,103392,Kowalevskia tenuis,"Fol, 1872",103360,Animalia,Chordata,Appendicularia,Copelata,Kowalevskiidae,Kowalevskia,"Hopcroft, R. (2021). World List of Appendicularia. Kowalevskia tenuis Fol, 1872. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103392 on 2021-07-19",urn:lsid:marinespecies.org:taxname:103392,1,0,0,0,NA,exact,2010-04-21T07:16:06.243Z
252335,http://www.marinespecies.org/aphia.php?p=taxdetails&id=252335,Bradiclavella dellavallei,"Zirpolo, 1925",unaccepted,original combination,220,Species,103551,Clavelina dellavallei,"(Zirpolo, 1925)",248238,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Bradiclavella,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Bradiclavella dellavallei Zirpolo, 1925. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=252335 on 2021-07-19",urn:lsid:marinespecies.org:taxname:252335,1,NA,0,0,NA,exact,2007-12-05T14:57:18.013Z
252546,http://www.marinespecies.org/aphia.php?p=taxdetails&id=252546,Chondrostachys cylindrica,"(Quoy & Gaimard, 1834)",unaccepted,new combination,220,Species,250305,Clavelina cylindrica,"(Quoy & Gaimard, 1834)",249503,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Chondrostachys,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Chondrostachys cylindrica (Quoy & Gaimard, 1834). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=252546 on 2021-07-19",urn:lsid:marinespecies.org:taxname:252546,1,NA,0,0,NA,exact,2007-12-05T14:57:18.013Z
252547,http://www.marinespecies.org/aphia.php?p=taxdetails&id=252547,Chondrostachys cylyndrica,"(Quoy & Gaimard, 1834)",unaccepted,literature misspelling,220,Species,250305,Clavelina cylindrica,"(Quoy & Gaimard, 1834)",249503,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Chondrostachys,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Chondrostachys cylyndrica (Quoy & Gaimard, 1834). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=252547 on 2021-07-19",urn:lsid:marinespecies.org:taxname:252547,1,NA,0,0,NA,exact,2007-12-05T14:57:18.013Z
252548,http://www.marinespecies.org/aphia.php?p=taxdetails&id=252548,Chondrostachys enormis,"(Herdman, 1880)",unaccepted,new combination,220,Species,215964,Clavelina enormis,"Herdman, 1880",249503,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Chondrostachys,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Chondrostachys enormis (Herdman, 1880). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=252548 on 2021-07-19",urn:lsid:marinespecies.org:taxname:252548,1,NA,0,0,NA,exact,2007-12-05T14:57:18.013Z
252549,http://www.marinespecies.org/aphia.php?p=taxdetails&id=252549,Chondrostachys macdonaldi,"Bronn, 1862",unaccepted,original combination,220,Species,250305,Clavelina cylindrica,"(Quoy & Gaimard, 1834)",249503,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Chondrostachys,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Chondrostachys macdonaldi Bronn, 1862. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=252549 on 2021-07-19",urn:lsid:marinespecies.org:taxname:252549,1,NA,0,0,NA,exact,2007-12-05T14:57:18.013Z
252550,http://www.marinespecies.org/aphia.php?p=taxdetails&id=252550,Chondrostachys oblonga,"(Herdman, 1880)",unaccepted,new combination,220,Species,103554,Clavelina oblonga,"Herdman, 1880",249503,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Chondrostachys,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Chondrostachys oblonga (Herdman, 1880). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=252550 on 2021-07-19",urn:lsid:marinespecies.org:taxname:252550,1,NA,0,0,NA,exact,2007-12-05T14:57:18.013Z
252551,http://www.marinespecies.org/aphia.php?p=taxdetails&id=252551,Chondrostachys picta,"(Verrill, 1900)",unaccepted,new combination,220,Species,250323,Clavelina picta,"(Verrill, 1900)",249503,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Chondrostachys,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Chondrostachys picta (Verrill, 1900). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=252551 on 2021-07-19",urn:lsid:marinespecies.org:taxname:252551,1,NA,0,0,NA,exact,2007-12-05T14:57:18.013Z
250296,http://www.marinespecies.org/aphia.php?p=taxdetails&id=250296,Clavelina amplexa,"Kott, 2002",accepted,NA,220,Species,250296,Clavelina amplexa,"Kott, 2002",103453,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Clavelina amplexa Kott, 2002. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=250296 on 2021-07-19",urn:lsid:marinespecies.org:taxname:250296,1,NA,0,0,NA,exact,2007-12-05T12:32:01.097Z
250297,http://www.marinespecies.org/aphia.php?p=taxdetails&id=250297,Clavelina arafurensis,"Tokioka, 1952",accepted,NA,220,Species,250297,Clavelina arafurensis,"Tokioka, 1952",103453,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Clavelina arafurensis Tokioka, 1952. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=250297 on 2021-07-19",urn:lsid:marinespecies.org:taxname:250297,1,NA,0,0,NA,exact,2007-12-05T12:32:01.097Z
250298,http://www.marinespecies.org/aphia.php?p=taxdetails&id=250298,Clavelina auracea,"Monniot C., 1997",accepted,NA,220,Species,250298,Clavelina auracea,"Monniot C., 1997",103453,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Clavelina auracea Monniot C., 1997. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=250298 on 2021-07-19",urn:lsid:marinespecies.org:taxname:250298,1,NA,0,0,NA,exact,2007-12-05T12:32:01.097Z
250299,http://www.marinespecies.org/aphia.php?p=taxdetails&id=250299,Clavelina australis,"(Herdman, 1899)",accepted,NA,220,Species,250299,Clavelina australis,"(Herdman, 1899)",103453,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2021). Ascidiacea World Database. Clavelina australis (Herdman, 1899). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=250299 on 2021-07-19",urn:lsid:marinespecies.org:taxname:250299,1,NA,0,0,NA,exact,2007-12-05T12:32:01.097Z
