"","Species","D","Dplus","EDplus","sd.Dplus","ll_Dplus","ul_Dplus","Lambda","z(Delta+)","Pr(>|z|)","ELambda","sd.Lambda"
"1","Aberrapex arrhynchum",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"2","Aberrapex ludmilae",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"3","Aberrapex manjajiae",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"4","Aberrapex sanmartini",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"5","Aberrapex senticosus",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"6","Aberrapex vitalemuttiorum",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"7","Aberrapex weipaensis",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"8","Abothrium gadi",3,61.1111111111111,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,61.7283950617284,-1.79485494409341,0.0726768140998481,165.5172,142.884427232729
"9","Acanthobothrium adlardi",13,62.3931623931624,76.2082851703737,2.9136108526821,70.3810634650095,82.0355068757379,124.187303674483,-4.74158131464055,2.12056512762749e-06,165.5172,49.8086976667204
"10","Acanthobothrium aetiobatis",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"11","Acanthobothrium americanum",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"12","Acanthobothrium angelae",5,63.3333333333333,76.2082851703737,5.50266560102197,65.2029539683298,87.2136163724177,100,-2.33976635517325,0.0192958070076335,165.5172,89.9565888145423
"13","Acanthobothrium arlenae",3,27.7777777777778,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,61.7283950617285,-5.75774878777537,8.52430834351451e-09,165.5172,142.884427232729
"14","Acanthobothrium asrinae",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"15","Acanthobothrium atahualpai",4,52.7777777777778,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,316.358024691358,-3.5761822580261,0.000348648622760269,165.5172,102.539044612137
"16","Acanthobothrium australis",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"17","Acanthobothrium bajaensis",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"18","Acanthobothrium bartonae",3,50,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,555.555555555556,-3.11581955865406,0.00183434478594995,165.5172,142.884427232729
"19","Acanthobothrium batailloni",4,58.3333333333333,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,347.222222222223,-2.72824162753279,0.00636729488500517,165.5172,102.539044612137
"20","Acanthobothrium benedeni",16,59.5833333333333,76.2082851703737,2.57513031456249,71.0580245412488,81.3585457994987,202.141203703704,-6.45596525466129,1.07531280223655e-10,165.5172,46.9307933474142
"21","Acanthobothrium bengalense",3,55.5555555555555,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,246.913580246914,-2.45533725137374,0.0140752470323139,165.5172,142.884427232729
"22","Acanthobothrium blairi",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"23","Acanthobothrium bobconniorum",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"24","Acanthobothrium brachyacanthum",4,47.2222222222222,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,408.95061728395,-4.42412288851942,9.68348912403187e-06,165.5172,102.539044612137
"25","Acanthobothrium brayi",4,58.3333333333333,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,162.037037037037,-2.72824162753279,0.00636729488500517,165.5172,102.539044612137
"26","Acanthobothrium brevissime",4,52.7777777777778,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,316.358024691358,-3.5761822580261,0.000348648622760269,165.5172,102.539044612137
"27","Acanthobothrium bullardi",4,61.1111111111111,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,154.320987654321,-2.30427131228613,0.0212074182857826,165.5172,102.539044612137
"28","Acanthobothrium cairae",3,55.5555555555555,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,246.913580246914,-2.45533725137374,0.0140752470323139,165.5172,142.884427232729
"29","Acanthobothrium campbelli",3,61.1111111111111,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,61.7283950617284,-1.79485494409341,0.0726768140998481,165.5172,142.884427232729
"30","Acanthobothrium cannoni",4,47.2222222222222,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,408.95061728395,-4.42412288851942,9.68348912403187e-06,165.5172,102.539044612137
"31","Acanthobothrium cartagenensis",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"32","Acanthobothrium cestracii",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"33","Acanthobothrium cestraciontis",2,16.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-4.60915556654295,4.04307733983916e-06,165.5172,193.408765709372
"34","Acanthobothrium chisholmae",4,58.3333333333333,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,347.222222222223,-2.72824162753279,0.00636729488500517,165.5172,102.539044612137
"35","Acanthobothrium cimari",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"36","Acanthobothrium clarkeae",6,53.3333333333333,76.2082851703737,4.81634947650034,66.5755862173731,85.8409841233744,377.777777777778,-4.74943771182938,2.03983010977641e-06,165.5172,80.0147104604748
"37","Acanthobothrium cleofanus",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"38","Acanthobothrium colombianum",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"39","Acanthobothrium confusum",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"40","Acanthobothrium coquimbensis",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"41","Acanthobothrium coronatum",42,62.9500580720093,76.2082851703737,1.49611981842487,73.216045533524,79.2005248072235,96.5236382080097,-8.86174150966254,7.87740789173053e-19,165.5172,26.0420255630092
"42","Acanthobothrium costarricense",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"43","Acanthobothrium crassicolle",8,62.5,76.2082851703737,3.95545847983292,68.2973682107079,84.1192021300396,52.0833333333335,-3.46566276457358,0.000528926264204301,165.5172,66.5371907529903
"44","Acanthobothrium cribbi",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"45","Acanthobothrium dasi",4,41.6666666666667,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,69.4444444444446,-5.27206351901273,1.34898370774101e-07,165.5172,102.539044612137
"46","Acanthobothrium dasybati",3,61.1111111111111,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,61.7283950617284,-1.79485494409341,0.0726768140998481,165.5172,142.884427232729
"47","Acanthobothrium dighaensis",3,44.4444444444444,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,61.7283950617293,-3.77630186593439,0.000159174067623458,165.5172,142.884427232729
"48","Acanthobothrium dollyae",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"49","Acanthobothrium dujardinii",23,55.862977602108,76.2082851703737,2.08992032542794,72.0284445195179,80.3881258212296,212.661066759709,-9.73496803716655,2.1388492566045e-22,165.5172,38.2133727978242
"50","Acanthobothrium dysbiotos",7,61.1111111111111,76.2082851703737,4.32629458636138,67.555695997651,84.8608743430965,167.548500881834,-3.48963154447605,0.000483686938369997,165.5172,71.9740222480321
"51","Acanthobothrium edmondsi",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"52","Acanthobothrium edwardsi",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"53","Acanthobothrium electricolum",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"54","Acanthobothrium filicolle",21,58.3333333333333,76.2082851703737,2.20067836871899,71.8069284329358,80.6096419078117,212.301587301587,-8.12247354775674,4.56777079825741e-16,165.5172,39.0900606275997
"55","Acanthobothrium floridensis",3,66.6666666666667,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,0,-1.13437263681308,0.256638272019242,165.5172,142.884427232729
"56","Acanthobothrium fogeli",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"57","Acanthobothrium foulki",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"58","Acanthobothrium franus",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"59","Acanthobothrium fylerae",3,50,76.2082851703737,8.41136165847002,59.3855618534337,93.0310084873138,555.555555555556,-3.11581955865406,0.00183434478594995,165.5172,142.884427232729
"60","Acanthobothrium gasseri",4,47.2222222222222,76.2082851703737,6.55182138438565,63.1046424016024,89.311927939145,408.95061728395,-4.42412288851942,9.68348912403187e-06,165.5172,102.539044612137
"61","Acanthobothrium gibsoni",5,48.3333333333333,76.2082851703737,5.50266560102197,65.2029539683298,87.2136163724177,525,-5.06571793711459,4.06863991186147e-07,165.5172,89.9565888145423
"62","Acanthobothrium giganticum",2,50,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-2.02880046794583,0.0424786176271213,165.5172,193.408765709372
"63","Acanthobothrium gloveri",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
"64","Acanthobothrium gnomus",2,33.3333333333333,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-3.31897801724439,0.000903475414797692,165.5172,193.408765709372
"65","Acanthobothrium goldsteini",2,66.6666666666667,76.2082851703737,12.9181186540783,50.3720478622172,102.04452247853,0,-0.738622918647275,0.460136003407059,165.5172,193.408765709372
