Species,pd,ses.pd,pd.p.value,mpd,ses.mpd,mpd.p.value,NRI
Abalistes stellaris,NA,NA,NA,NA,NA,NA,NA
Acanthistius patachonicus,12,1.1943825079969643,0.8425,100,1.1368530696863777,0.8335,-1.1368530696863777
Acanthistius pictus,NA,NA,NA,NA,NA,NA,NA
Acanthocepola limbata,NA,NA,NA,NA,NA,NA,NA
Acanthochaenus luetkenii,NA,NA,NA,NA,NA,NA,NA
Acanthocybium solandri,NA,NA,NA,NA,NA,NA,NA
Acanthopagrus australis,NA,NA,NA,NA,NA,NA,NA
Acipenser nudiventris,NA,NA,NA,NA,NA,NA,NA
Acipenser oxyrinchus,NA,NA,NA,NA,NA,NA,NA
Acipenser ruthenus,NA,NA,NA,NA,NA,NA,NA
Acipenser stellatus,8,-0.6817466391588123,0.272,66.66666666666666,-0.662933319915918,0.2755,0.662933319915918
Acipenser transmontanus,NA,NA,NA,NA,NA,NA,NA
Acroteriobatus annulatus,20,0.6020460797376558,0.6655,86.11111111111111,0.7240091723706962,0.731,-0.7240091723706962
Aculeola nigra,2,-3.407518598814887,0.008,16.666666666666664,-3.507944028975489,0.0055,3.507944028975489
Aethia pygmaea,NA,NA,NA,NA,NA,NA,NA
Aetobatus flagellum,22,-0.1985105044712838,0.3855,86.66666666666667,0.9292211605956083,0.8355,-0.9292211605956083
Aetobatus narinari,215,-3.888274524907749,0.001,77.98897479954181,-0.3854745521859006,0.3325,0.3854745521859006
Aetobatus ocellatus,100,-5.905702819308697,0.001,72.62626262626263,-2.155434071560698,0.02,2.155434071560698
Aetomylaeus bovinus,53,0.44001545592573016,0.6485,88.24786324786325,1.7490374989424105,0.9815,-1.7490374989424105
Aetomylaeus caeruleofasciatus,2,-3.4525637929168522,0.0065,16.666666666666664,-3.3929031703897996,0.005,3.3929031703897996
Aetomylaeus maculatus,52,-1.9768744390433648,0.0295,69.72222222222221,-1.8389722383684524,0.04,1.8389722383684524
Aetomylaeus nichofii,57,-3.65245390426341,0.001,71.03174603174602,-1.8739237700509503,0.038,1.8739237700509503
Aetomylaeus vespertilio,55,-0.5288920804332523,0.3035,81.11111111111111,0.5083508416543464,0.691,-0.5083508416543464
Alca torda,NA,NA,NA,NA,NA,NA,NA
Alepisaurus ferox,14,-0.12356666606329288,0.4355,77.77777777777779,-0.05240604842076727,0.472,0.05240604842076727
Alepocephalus agassizii,NA,NA,NA,NA,NA,NA,NA
Alopias pelagicus,64,-2.8164344424319174,0.0075,77.994227994228,-0.09198328340517044,0.447,0.09198328340517044
Alopias superciliosus,72,-5.905422999558178,0.001,75.9469696969697,-0.8302967181322616,0.202,0.8302967181322616
Alopias vulpinus,129,-2.677242866537419,0.004,81.17913832199547,0.9768385388187774,0.852,-0.9768385388187774
Alosa fallax,2,-3.2595627422382476,0.009,16.666666666666664,-3.3566452516713663,0.0075,3.3566452516713663
Alosa pseudoharengus,NA,NA,NA,NA,NA,NA,NA
Alosa sapidissima,12,1.144441183171495,0.838,100,1.1226451119570835,0.832,-1.1226451119570835
Aluterus schoepfii,10,0.19574226028808323,0.5535,83.33333333333334,0.24623349932187671,0.572,-0.24623349932187671
Amblyraja doellojuradoi,23,0.19058071161566414,0.5295,83.33333333333334,0.5029014253455304,0.6435,-0.5029014253455304
Amblyraja frerichsi,NA,NA,NA,NA,NA,NA,NA
Amblyraja georgiana,36,0.6337913572240517,0.728,83.33333333333333,0.6805045209504064,0.737,-0.6805045209504064
Amblyraja hyperborea,27,0.1911438831178433,0.524,90,1.300855801707083,0.909,-1.300855801707083
Amblyraja jenseni,NA,NA,NA,NA,NA,NA,NA
Amblyraja radiata,115,-2.9577931408046934,0.0025,82.39957716701903,1.3379511864335576,0.915,-1.3379511864335576
Ammodytes hexapterus,NA,NA,NA,NA,NA,NA,NA
Ammodytes tobianus,NA,NA,NA,NA,NA,NA,NA
Amphistichus argenteus,NA,NA,NA,NA,NA,NA,NA
Anacanthobatis folirostris,8,-0.7292615606995393,0.2625,66.66666666666666,-0.6257518689563454,0.282,0.6257518689563454
Anarhichas denticulatus,NA,NA,NA,NA,NA,NA,NA
Anarhichas lupus,18,-0.10148641006169515,0.4375,75,-0.3795252207185979,0.352,0.3795252207185979
Anarhichas minor,10,0.25320616641717403,0.5795,83.33333333333334,0.26215241567727915,0.581,-0.26215241567727915
Anas platyrhynchos,NA,NA,NA,NA,NA,NA,NA
Anas undulata,NA,NA,NA,NA,NA,NA,NA
Anguilla anguilla,13,-0.4816483759773072,0.344,72.22222222222223,-0.4852451101885167,0.3395,0.4852451101885167
Anguilla japonica,8,-0.6788963852551461,0.2695,66.66666666666666,-0.595072630742296,0.2945,0.595072630742296
Anguilla marmorata,NA,NA,NA,NA,NA,NA,NA
Anhinga melanogaster,NA,NA,NA,NA,NA,NA,NA
Anisotremus scapularis,12,1.2846102920504854,0.856,100,1.1572983207484582,0.835,-1.1572983207484582
Anoplopoma fimbria,NA,NA,NA,NA,NA,NA,NA
Anoxypristis cuspidata,41,-2.634799715027004,0.0125,61.324786324786324,-3.28107264214913,0.001,3.28107264214913
Anthus cervinus,NA,NA,NA,NA,NA,NA,NA
Antigonia capros,NA,NA,NA,NA,NA,NA,NA
Aphareus rutilans,NA,NA,NA,NA,NA,NA,NA
Apodichthys flavidus,NA,NA,NA,NA,NA,NA,NA
Apogon lineatus,NA,NA,NA,NA,NA,NA,NA
Apogon maculatus,NA,NA,NA,NA,NA,NA,NA
Apogon pseudomaculatus,NA,NA,NA,NA,NA,NA,NA
Apristurus fedorovi,18,-0.19472947994814438,0.383,75,-0.2973589181209575,0.381,0.2973589181209575
Apristurus japonicus,12,1.1998670254751773,0.835,100,1.2169393792856684,0.854,-1.2169393792856684
Apristurus laurussonii,8,-0.6470367762092357,0.2815,66.66666666666666,-0.667523975863436,0.2745,0.667523975863436
Apristurus macrostomus,10,0.2755570090146742,0.583,83.33333333333334,0.3031960101806263,0.6045,-0.3031960101806263
Apristurus nasutus,12,1.1998670254751773,0.835,100,1.2169393792856684,0.854,-1.2169393792856684
Apristurus platyrhynchus,6,-1.5853772544502538,0.0485,50,-1.6114099059569282,0.0545,1.6114099059569282
Apristurus profundorum,6,-1.5853772544502538,0.0485,50,-1.6114099059569282,0.0545,1.6114099059569282
Aptychotrema rostrata,64,-0.5474944189364085,0.2845,85.83877995642702,1.5576120009959207,0.957,-1.5576120009959207
Aptychotrema vincentiana,57,-3.239642220026952,0.0025,65.52631578947368,-3.013487483099223,0.004,3.013487483099223
Arctocephalus australis,12,1.154130079698041,0.8405,100,1.1727357069782953,0.846,-1.1727357069782953
Arctocephalus australis forsteri,18,1.6148090725963082,0.9795,100,1.6164319417174178,0.978,-1.6164319417174178
Arctocephalus philippii,NA,NA,NA,NA,NA,NA,NA
Arctocephalus pusillus,4,-2.5103369917621525,0.021,33.33333333333333,-2.5783636822510982,0.02,2.5783636822510982
Arctocephalus pusillus doriferus,13,-0.5196128812535269,0.327,72.22222222222223,-0.4955156157538924,0.3315,0.4955156157538924
Arctocephalus tropicalis,NA,NA,NA,NA,NA,NA,NA
Ardea cinerea,NA,NA,NA,NA,NA,NA,NA
Argentina sphyraena,NA,NA,NA,NA,NA,NA,NA
Argyrops filamentosus,NA,NA,NA,NA,NA,NA,NA
Argyrosomus hololepidotus,NA,NA,NA,NA,NA,NA,NA
Argyrosomus japonicus,NA,NA,NA,NA,NA,NA,NA
Ariopsis felis,12,-4.888456823694311,0.001,41.11111111111111,-4.553030056733219,0.001,4.553030056733219
Arnoglossus laterna,2,-3.4093802782782623,0.0075,16.666666666666664,-3.4930263900658254,0.005,3.4930263900658254
Arnoglossus thori,NA,NA,NA,NA,NA,NA,NA
Artedius harringtoni,NA,NA,NA,NA,NA,NA,NA
Asymbolus analis,12,1.1776568348582064,0.847,100,1.17319410415276,0.8415,-1.17319410415276
Asymbolus rubiginosus,12,1.254356109405858,0.858,100,1.1754768236719317,0.845,-1.1754768236719317
Atheresthes stomias,6,-1.6736908305744844,0.0485,50,-1.655122975677341,0.0495,1.655122975677341
Atherina boyeri,NA,NA,NA,NA,NA,NA,NA
Athorybia rosacea,NA,NA,NA,NA,NA,NA,NA
Atlantoraja castelnaui,47,-1.1180967955233825,0.1375,85.47008547008546,1.2930287578851345,0.913,-1.2930287578851345
Atlantoraja cyclophora,14,-0.08620648038108612,0.4445,77.77777777777777,-0.06313274629883356,0.37,0.06313274629883356
Atlantoraja platana,NA,NA,NA,NA,NA,NA,NA
Atractoscion aequidens,NA,NA,NA,NA,NA,NA,NA
Atractoscion nobilis,6,-3.514329763051149,0.003,33.33333333333333,-3.4324052392853317,0.0045,3.4324052392853317
Auxis thazard thazard,6,-1.4962362997221932,0.06,50,-1.5666382153663527,0.0535,1.5666382153663527
Bagre marinus,NA,NA,NA,NA,NA,NA,NA
Bairdiella chrysoura,NA,NA,NA,NA,NA,NA,NA
Balaena mysticetus,NA,NA,NA,NA,NA,NA,NA
Balaenoptera borealis,8,-0.6679803790362697,0.266,66.66666666666666,-0.5804086040228352,0.292,0.5804086040228352
Balaenoptera musculus,NA,NA,NA,NA,NA,NA,NA
Balaenoptera physalus,8,-0.6679803790362697,0.266,66.66666666666666,-0.5804086040228352,0.292,0.5804086040228352
Balistes vetula,12,1.1642201916868316,0.8435,100,1.1816571929284811,0.8425,-1.1816571929284811
Barbatula barbatulus,NA,NA,NA,NA,NA,NA,NA
Bathygadus macrops,NA,NA,NA,NA,NA,NA,NA
Bathyraja albomaculata,NA,NA,NA,NA,NA,NA,NA
Bathyraja aleutica,12,1.176016145376838,0.846,100,1.1309785242775827,0.8335,-1.1309785242775827
Bathyraja brachyurops,60,-0.738457133867983,0.2305,80.14705882352942,0.29081507366499787,0.617,-0.29081507366499787
Bathyraja eatonii,41,-2.530633640718695,0.01,69.01709401709401,-1.8939387455749135,0.0355,1.8939387455749135
Bathyraja griseocauda,2,-3.3936333975570645,0.008,16.666666666666664,-3.274029705140555,0.008,3.274029705140555
Bathyraja interrupta,18,1.6309032004700637,0.975,100,1.6186108966778852,0.977,-1.6186108966778852
Bathyraja maccaini,34,-2.8153842678461247,0.0075,66.66666666666666,-2.15708854265504,0.023,2.15708854265504
Bathyraja macloviana,NA,NA,NA,NA,NA,NA,NA
Bathyraja magellanica,21,0.9736777521306632,0.8275,88.88888888888889,0.9398917954584882,0.805,-0.9398917954584882
Bathyraja minispinosa,12,1.1696112665811174,0.8395,100,1.1421948966296993,0.828,-1.1421948966296993
Bathyraja multispinis,12,1.176609845161607,0.844,100,1.1283616238329242,0.834,-1.1283616238329242
Bathyraja murrayi,NA,NA,NA,NA,NA,NA,NA
Bathyraja parmifera,NA,NA,NA,NA,NA,NA,NA
Bathyraja peruana,NA,NA,NA,NA,NA,NA,NA
Bathyraja richardsoni,35,0.2628079489852329,0.5625,79.76190476190476,0.19801280223371612,0.54,-0.19801280223371612
Bathyraja scaphiops,12,1.1827695631219548,0.8455,100,1.1734578346227447,0.8445,-1.1734578346227447
Bathyraja smirnovi,25,-0.4747673022540089,0.2945,83.33333333333333,0.5201158816126445,0.6735,-0.5201158816126445
Bathyraja spinicauda,42,0.2926937316497216,0.5805,86.2962962962963,1.228369019193185,0.9095,-1.228369019193185
Bathyraja taranetzi,8,-0.7104705409935123,0.263,66.66666666666666,-0.6317858300543333,0.2795,0.6317858300543333
Bathytoshia brevicaudata,35,-1.6392669785782552,0.0625,72.22222222222223,-1.0733842675434282,0.178,1.0733842675434282
Bathytoshia centroura,140,-3.107735332018673,0.003,77.46753246753246,-0.5128112741851767,0.2985,0.5128112741851767
Bathytoshia lata,41,-1.7575695269518092,0.052,66.41414141414141,-2.1110330812415263,0.0295,2.1110330812415263
Belone belone,18,-0.1576043286942495,0.4,83.33333333333333,0.41909004364475205,0.6015,-0.41909004364475205
Belone svetovidovi,NA,NA,NA,NA,NA,NA,NA
Beringraja binoculata,86,-3.7713479187491106,0.0015,81.88131313131314,0.9633129131088946,0.826,-0.9633129131088946
Beringraja inornata,23,-1.1757713108325074,0.1315,70,-1.0031509249299633,0.182,1.0031509249299633
Beringraja pulchra,12,1.2315693942670405,0.852,100,1.1532600888778142,0.833,-1.1532600888778142
Beringraja rhina,25,-0.5146949678488376,0.2895,74.44444444444444,-0.4775838128162065,0.32,0.4775838128162065
Beringraja stellulata,15,-2.745052621464227,0.0045,58.33333333333333,-2.218398656657353,0.01,2.218398656657353
Beryx decadactylus,NA,NA,NA,NA,NA,NA,NA
Beryx splendens,NA,NA,NA,NA,NA,NA,NA
Blepsias cirrhosus,NA,NA,NA,NA,NA,NA,NA
Bodianus axillaris,6,-3.539119905512613,0.001,33.33333333333333,-3.498351312701649,0.002,3.498351312701649
Boops boops,NA,NA,NA,NA,NA,NA,NA
Boreogadus saida,NA,NA,NA,NA,NA,NA,NA
Bothus lunatus,NA,NA,NA,NA,NA,NA,NA
Brachyplatystoma vaillantii,NA,NA,NA,NA,NA,NA,NA
Brama brama,22,1.382735416374191,0.943,94.44444444444444,1.5103199441836295,0.9465,-1.5103199441836295
Branchiostegus japonicus,NA,NA,NA,NA,NA,NA,NA
Brevitrygon heterura,NA,NA,NA,NA,NA,NA,NA
Brevitrygon imbricata,35,-3.380563249710265,0.0035,59.34343434343434,-3.2620884609300442,0.001,3.2620884609300442
Brevitrygon walga,94,-3.8700664608570388,0.001,65.49049049049049,-4.074267027512852,0.001,4.074267027512852
Brotula barbata,NA,NA,NA,NA,NA,NA,NA
Brotula multibarbata,NA,NA,NA,NA,NA,NA,NA
Calamus calamus,NA,NA,NA,NA,NA,NA,NA
Calcarius lapponicus,NA,NA,NA,NA,NA,NA,NA
Calidris alpina,NA,NA,NA,NA,NA,NA,NA
Callichirus islagrande,NA,NA,NA,NA,NA,NA,NA
Calliclinus geniguttatus,NA,NA,NA,NA,NA,NA,NA
Calliclinus nudiventris,NA,NA,NA,NA,NA,NA,NA
Callionymus lyra,NA,NA,NA,NA,NA,NA,NA
