Species,pd,ses.pd,pd.p.value,mpd,ses.mpd,mpd.p.value,NRI
Aberrapex arrhynchum,8,-0.6608468834904043,0.239,66.66666666666666,-0.7286872259117773,0.231,0.7286872259117773
Aberrapex ludmilae,6,-2.065577107227756,0.053,50,-2.2390673481881236,0.0395,2.2390673481881236
Aberrapex manjajiae,6,-2.0995250202385107,0.0455,50,-1.9230965740564965,0.0565,1.9230965740564965
Aberrapex sanmartini,8,-0.7242555448463451,0.232,66.66666666666666,-0.7667746011095544,0.232,0.7667746011095544
Aberrapex senticosus,8,-0.7136136289436257,0.23,66.66666666666666,-0.7297146337889987,0.238,0.7297146337889987
Aberrapex vitalemuttiorum,4,-3.3604883764009643,0.0075,33.33333333333333,-3.1186124296728135,0.016,3.1186124296728135
Aberrapex weipaensis,8,-0.725954591737708,0.229,66.66666666666666,-0.7849213546681706,0.222,0.7849213546681706
Abothrium gadi,11,-1.7420251020243254,0.0625,61.11111111111111,-1.871240379933656,0.052,1.871240379933656
Acanthobothrium adlardi,42,-3.4728841834233735,0.001,62.454212454212445,-5.095417786375541,0.001,5.095417786375541
Acanthobothrium aetiobatidis,NA,NA,NA,NA,NA,NA,NA
Acanthobothrium aetiobatis,8,-0.7650135818791697,0.2195,66.66666666666666,-0.7957788150870793,0.214,0.7957788150870793
Acanthobothrium americanum,6,-2.080295601598644,0.0515,50,-2.0227092511469196,0.051,2.0227092511469196
Acanthobothrium angelae,18,-2.203276612981177,0.0185,63.33333333333332,-2.329368844270449,0.0195,2.329368844270449
Acanthobothrium annapinkiensis,NA,NA,NA,NA,NA,NA,NA
Acanthobothrium arlenae,5,-5.753585879220488,0.001,27.777777777777775,-5.5929540079997055,0.001,5.5929540079997055
Acanthobothrium asrinae,8,-0.7194882812232297,0.2355,66.66666666666666,-0.7184841993071986,0.2405,0.7184841993071986
Acanthobothrium atahualpai,12,-3.5343346988277906,0.0035,52.77777777777777,-3.704663959325923,0.003,3.704663959325923
Acanthobothrium australis,8,-0.6508585211678628,0.242,66.66666666666666,-0.6766795240525431,0.2555,0.6766795240525431
Acanthobothrium bajaensis,8,-0.7631853449830417,0.2235,66.66666666666666,-0.7625013848460679,0.223,0.7625013848460679
Acanthobothrium bartonae,9,-3.1649593574985113,0.008,49.99999999999999,-2.9679259106139617,0.0075,2.9679259106139617
Acanthobothrium batailloni,13,-2.9768293480187284,0.005,58.33333333333333,-2.803930882294008,0.0115,2.803930882294008
Acanthobothrium benedeni,47,-3.7465111893743797,0.0015,59.58333333333333,-6.403937033268999,0.001,6.403937033268999
Acanthobothrium bengalense,10,-2.6454512530367804,0.0155,55.55555555555555,-2.5117147964673276,0.018,2.5117147964673276
Acanthobothrium beveridgei,NA,NA,NA,NA,NA,NA,NA
Acanthobothrium blairi,10,-2.3613300164122992,0.024,55.55555555555555,-2.3906922548050025,0.028,2.3906922548050025
