Host,YearH,phylumH,classH,orderH,familyH,genusH,Parasite,YearP,phylumP,classP,orderP,familyP,genusP
Heterodontus japonicus,1884,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,Acanthobothrium cestracii,1934,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium
Raja miraletus,1758,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Acanthocotyle elegans,1890,Platyhelminthes,Monogenea,Gyrodactylidea,Acanthocotylidae,Acanthocotyle
Pliotrema warreni,1906,Chordata,Elasmobranchii,Pristiophoriformes,Pristiophoridae,Pliotrema,Achtheinus pinguis,1912,Arthropoda,Hexanauplia,Siphonostomatoida,Pandaridae,Achtheinus
Squatina squatina,1758,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,Aegapheles deshaysiana,1840,Arthropoda,Malacostraca,Isopoda,Aegidae,Aegapheles
Loxodon macrorhinus,1839,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Loxodon,Ancipirhynchus afossalis,2011,Platyhelminthes,Cestoda,Trypanorhyncha,Otobothriidae,Ancipirhynchus
Paragaleus tengi,1963,Chordata,Elasmobranchii,Carcharhiniformes,Hemigaleidae,Paragaleus,Ancipirhynchus afossalis,2011,Platyhelminthes,Cestoda,Trypanorhyncha,Otobothriidae,Ancipirhynchus
Narke japonica,1850,Chordata,Elasmobranchii,Torpediniformes,Narkidae,Narke,Anteropora japonica,1934,Platyhelminthes,Cestoda,Lecanicephalidea,Polypocephalidae,Anteropora
Gymnura altavela,1758,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,Anthobothrium altavelae,2002,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Anthobothrium
Prionace glauca,1758,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Anthobothrium caseyi,2009,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Anthobothrium
Carcharhinus leucas,1839,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Anthobothrium cornucopia,1850,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Anthobothrium
Squatina squatina,1758,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,Anthobothrium cornucopia,1850,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Anthobothrium
Prionace glauca,1758,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Anthobothrium cornucopia,1850,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Anthobothrium
