Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Aetomylaeus nichofii,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetomylaeus,1801,Elicilacunosus fahmii,Platyhelminthes,Cestoda,Lecanicephalidea,Lecanicephalidae,Elicilacunosus,2012
Alopias pelagicus,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,1935,Litobothrium daileyi,Platyhelminthes,Cestoda,Litobothriidea,Litobothriidae,Litobothrium,1973
Alopias superciliosus,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,1841,Litobothrium janovyi,Platyhelminthes,Cestoda,Litobothriidea,Litobothriidae,Litobothrium,2001
Alopias pelagicus,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,1935,Litobothrium nickoli,Platyhelminthes,Cestoda,Litobothriidea,Litobothriidae,Litobothrium,2001
Diplobatis ommata,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,Diplobatis,1890,Acanthobothrium dollyae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2001
Diplobatis ommata,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,Diplobatis,1890,Acanthobothrium maryanskii,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2001
Diplobatis ommata,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,Diplobatis,1890,Acanthobothrium royi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2001
Heterodontus francisci,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,1855,Acanthobothrium puertecitense,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2001
Heterodontus mexicanus,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,1972,Acanthobothrium santarosaliense,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2001
Prionace glauca,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,1758,Prosobothrium armigerum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Prosobothriidae,Prosobothrium,1902
Ginglymostoma cirratum,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,1788,Pedibothrium brevispine,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,1909
Ginglymostoma cirratum,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,1788,Pedibothrium manteri,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,1992
Liparis atlanticus,Chordata,Actinopteri,Perciformes,Liparidae,Liparis,1898,Spathebothrium simplex,Platyhelminthes,Cestoda,Spathebothriidea,Spathebothriidae,Spathebothrium,1922
Prionace glauca,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,1758,Platybothrium auriculatum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Platybothrium,1952
Myliobatis californica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1865,Aberrapex senticosus,Platyhelminthes,Cestoda,Lecanicephalidea,Aberrapecidae,Aberrapex,2001
Mobula japanica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,1841,Healyum harenamica,Platyhelminthes,Cestoda,Lecanicephalidea,Lecanicephalidea incertae sedis,Healyum,2001
Mobula japanica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,1841,Healyum pulvis,Platyhelminthes,Cestoda,Lecanicephalidea,Lecanicephalidea incertae sedis,Healyum,2001
Mobula japanica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,1841,Quadcuspibothrium francisi,Platyhelminthes,Cestoda,Lecanicephalidea,Lecanicephalidea incertae sedis,Quadcuspibothrium,2001
Taeniura lymma,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Taeniura,1775,Echinobothrium elegans,Platyhelminthes,Cestoda,Diphyllidea,Echinobothriidae,Echinobothrium,2006
Taeniura lymma,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Taeniura,1775,Echinobothrium heroniense,Platyhelminthes,Cestoda,Diphyllidea,Echinobothriidae,Echinobothrium,1964
Urobatis halleri,Chordata,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urobatis,1863,Acanthobothrium parviuncinatum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1954
Urobatis maculatus,Chordata,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urobatis,1913,Anthocephalum duszynskii,Platyhelminthes,Cestoda,Rhinebothriidea,Anthocephaliidae,Anthocephalum,1994
Pristiophorus cirratus,Chordata,Elasmobranchii,Pristiophoriformes,Pristiophoridae,Pristiophorus,1794,Bibursibothrium gouldeni,Platyhelminthes,Cestoda,Phyllobothriidea,Phyllobothriidae,Bibursibothrium,1998
Isurus oxyrinchus,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Isurus,1810,Ceratobothrium xanthocephalum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Ceratobothrium,1892
Carcharodon carcharias,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,1758,Clistobothrium carcharodoni,Platyhelminthes,Cestoda,Phyllobothriidea,Phyllobothriidae,Clistobothrium,1990
Carcharhinus longimanus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1861,Disculiceps galapagoensis,Platyhelminthes,Cestoda,Cathetocephalidea,Disculicepitidae,Disculiceps,1988
