Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Acroteriobatus annulatus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,1841,Trichodina rhinobatae,Ciliophora,Oligohymenophorea,Mobilida,Trichodinidae,Trichodina,1996
Acroteriobatus annulatus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,1841,Neoheterocotyle robii,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Neoheterocotyle,2010
Acroteriobatus annulatus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,1841,Pseudoleptobothrium christisoni,Platyhelminthes,Monogenea,Monocotylidea,Microbothriidae,Pseudoleptobothrium,2011
Acroteriobatus annulatus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,1841,Echinobothrium dougbermani,Platyhelminthes,Cestoda,Diphyllidea,Echinobothriidae,Echinobothrium,2013
Acroteriobatus annulatus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,1841,Gnathia pantherina,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia,2002
Aculeola nigra,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Aculeola,1959,Eudactylina chilensis,Arthropoda,Hexanauplia,Siphonostomatoida,Eudactylinidae,Eudactylina,1981
Aetobatus flagellum,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1801,Polypocephalus bombayensis,Platyhelminthes,Cestoda,Lecanicephalidea,Polypocephalidae,Polypocephalus,1991
Aetobatus flagellum,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1801,Echinocephalus sinensis,Nematoda,Chromadorea,Rhabditida,Gnathostomatidae,Echinocephalus,1975
Aetobatus flagellum,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1801,Gnathia trimaculata,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia,2009
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Clemacotyle australis,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Clemacotyle,1967
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Decacotyle elpora,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Decacotyle,2005
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Decacotyle floridana,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Decacotyle,1910
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Decacotyle lymmae,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Decacotyle,1967
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Decacotyle octona,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Decacotyle,1967
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Dendromonocotyle torosa,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Dendromonocotyle,2004
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Empruthotrema kearni,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Empruthotrema,1990
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Thaumatocotyle pseudodasybatis,Platyhelminthes,Monogenea,Monocotylidea,Monocotylidae,Thaumatocotyle,1955
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium aetiobatidis,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1900
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium arlenae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium colombianum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1980
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium coronatum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1819
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium dysbiotos,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1921
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium marquesi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2018
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium monksi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1997
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium nicoyaense,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1995
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Acanthobothrium tortum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1916
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Adelobothrium aetiobatidis,Platyhelminthes,Cestoda,Lecanicephalidea,Cephalobothriidae,Adelobothrium,1900
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Cephalobothrium aetobatidis,Platyhelminthes,Cestoda,Lecanicephalidea,Cephalobothriidae,Cephalobothrium,1906
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Didymorhynchus southwelli,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Didymorhynchus,1988
