Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Myliobatis goodei,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1885,Aberrapex arrhynchum,Platyhelminthes,Cestoda,Lecanicephalidea,Aberrapecidae,Aberrapex,1981
Myliobatis goodei,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1885,Aberrapex ludmilae,Platyhelminthes,Cestoda,Lecanicephalidea,Aberrapecidae,Aberrapex,2017
Myliobatis goodei,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1885,Aberrapex sanmartini,Platyhelminthes,Cestoda,Lecanicephalidea,Aberrapecidae,Aberrapex,2017
Myliobatis californica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1865,Aberrapex senticosus,Platyhelminthes,Cestoda,Lecanicephalidea,Aberrapecidae,Aberrapex,2001
Myliobatis ridens,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,2012,Aberrapex vitalemuttiorum,Platyhelminthes,Cestoda,Lecanicephalidea,Aberrapecidae,Aberrapex,2017
Gadus morhua,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,1758,Abothrium gadi,Platyhelminthes,Cestoda,Bothriocephalidea,Triaenophoridae,Abothrium,1871
Gadus morhua,Chordata,Actinopteri,Gadiformes,Gadidae,Morhua,1758,Abothrium gadi,Platyhelminthes,Cestoda,Bothriocephalidea,Triaenophoridae,Abothrium,1871
Gadus morhua,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,1758,Abothrium gadi,Platyhelminthes,Cestoda,Bothriocephalidea,Triaenophoridae,Abothrium,1871
Pristiophorus cirratus,Chordata,Elasmobranchii,Pristiophoriformes,Pristiophoridae,Pristiophorus,1794,Acanthobothrium adlardi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Hypanus americanus,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,1928,Acanthobothrium americanum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1969
Hypanus americanus,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,1928,Acanthobothrium americanum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1969
Hypnos monopterygius,Chordata,Elasmobranchii,Torpediniformes,Hypnidae,Hypnos,1795,Acanthobothrium angelae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Hypnos monopterygius,Chordata,Elasmobranchii,Torpediniformes,Hypnidae,Hypnos,1795,Acanthobothrium angelae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Aetobatus ocellatus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1823,Acanthobothrium arlenae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Gymnura afuerae,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,1946,Acanthobothrium atahualpai,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1978
Heterodontus francisci,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,1855,Acanthobothrium bajaense,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1973
Myliobatis aquila,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1758,Acanthobothrium batailloni,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1955
Myliobatis aquila,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatus,1758,Acanthobothrium batailloni,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1955
Raja clavata,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,1758,Acanthobothrium benedeni,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1889
Raja clavata,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,1758,Acanthobothrium benedeni,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1889
Raja clavata,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Raia,1758,Acanthobothrium benedeni,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1889
Spiniraja whitleyi,Chordata,Elasmobranchii,Rajiformes,Rajidae,Spiniraja,1938,Acanthobothrium blairi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Spiniraja whitleyi,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,1938,Acanthobothrium blairi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Spiniraja whitleyi,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,1938,Acanthobothrium blairi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Rhynchobatus laevis,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhynchobatus,1801,Acanthobothrium bobconniorum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2010
Sutorectus tentaculatus,Chordata,Elasmobranchii,Orectolobiformes,Orectolobidae,Sutorectus,1864,Acanthobothrium brayi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Sutorectus tentaculatus,Chordata,Elasmobranchii,Orectolobiformes,Orectolobidae,Orectolobus,1864,Acanthobothrium brayi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,2002
Hypanus say,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,1817,Acanthobothrium brevissime,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium,1909
