papers,host,parasite,index
"VAN AS, J.G. et.al. (1996) [21370] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Trichodina rhinobatae,21370
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Trichodina rhinobatae,27172
"VAUGHAN, D.B. et.al. (2010) [12252] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Neoheterocotyle robii,12252
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Neoheterocotyle robii,27172
"VAUGHAN, D.B. et.al. (2011) [13675] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Pseudoleptobothrium christisoni,13675
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Pseudoleptobothrium christisoni,27172
"CAIRA, J.N. et.al. (2013) [18038] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Echinobothrium dougbermani,18038
"CAIRA, J.N. et.al. (2013) [19536] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Echinobothrium dougbermani,19536
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Echinobothrium dougbermani,27172
"CAIRA, J.N. et.al. (2013) [19536] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Echinobothrium sp,19536
"HAYES, P.M. et.al. (2007) [9746] ( used host: Rhinobatos annulatus)",Acroteriobatus annulatus,Gnathia pantherina,9746
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Acroteriobatus annulatus,Gnathia pantherina,27172
"HO, J.-S. et.al. (1981) [14998]",Aculeola nigra,Eudactylina chilensis,14998
"DEETS, G.B. (1994) [17867]",Aculeola nigra,Eudactylina chilensis,17867
"SHINDE, G.B. et.al. (1991) [16402]",Aetobatus flagellum,Polypocephalus bombayensis,16402
"KO, R.C. et.al. (1980) [23996]",Aetobatus flagellum,Echinocephalus sinensis,23996
"OTA, Y. et.al. (2012) [17188]",Aetobatus flagellum,Gnathia trimaculata,17188
"YOUNG, P.C. (1967) [17104]",Aetobatus narinari,Clemacotyle australis,17104
"BEVERLEY-BURTON, M. et.al. (1995) [7571]",Aetobatus narinari,Clemacotyle australis,7571
"CHISHOLM, L.A. (1998) [24082]",Aetobatus narinari,Clemacotyle australis,24082
"CHISHOLM, L.A. et.al. (2001) [23992]",Aetobatus narinari,Clemacotyle australis,23992
"JANSE, M. et.al. (2003) [7102]",Aetobatus narinari,Clemacotyle australis,7102
"MARIE, A.D. et.al. (2005) [7394]",Aetobatus narinari,Clemacotyle australis,7394
