species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,basisOfRecord,depth
Aegapheles deshaysiana,15.668333,-23.096667,NA,PRESERVED_SPECIMEN,NA
Anthobothrium cornucopia,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Anthobothrium cornucopia,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Anthobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Anthobothrium lesteri,-23.45,151.9167,NA,PRESERVED_SPECIMEN,NA
Anthobothrium lesteri,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Anthobothrium lesteri,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Anthobothrium lesteri,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Anthobothrium lesteri,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Anthobothrium lesteri,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Anthobothrium lesteri,-23.45,151.916667,500,PRESERVED_SPECIMEN,NA
Anthobothrium lyndoni,33.6589,-77.1589,NA,PRESERVED_SPECIMEN,NA
Anthobothrium lyndoni,33.6589,-77.1589,NA,PRESERVED_SPECIMEN,NA
Anthocephalum centrurum,9.5,-65,NA,UNKNOWN,NA
Anthocephalum centrurum,41.47,-71.03,NA,PRESERVED_SPECIMEN,NA
Anthocephalum gracile,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Asthenocotyle taranakiensis,-37.9667,173.8,NA,PRESERVED_SPECIMEN,NA
Asthenocotyle taranakiensis,-37.966667,173.8,NA,PRESERVED_SPECIMEN,NA
Asthenocotyle taranakiensis,-37.966667,173.8,NA,PRESERVED_SPECIMEN,NA
Asthenocotyle taranakiensis,-37.966667,173.8,NA,PRESERVED_SPECIMEN,NA
Asthenocotyle taranakiensis,-37.966667,173.8,NA,PRESERVED_SPECIMEN,NA
Branchellion torpedinis,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Branchotenthes robinoverstreeti,-34.047867,100.619658,NA,PRESERVED_SPECIMEN,NA
Calicotyle kroyeri,55.768281,-4.917895,1000,PRESERVED_SPECIMEN,NA
Calicotyle kroyeri,57,-1,NA,PRESERVED_SPECIMEN,67
Calicotyle kroyeri,19.868056,-90.506944,80,PRESERVED_SPECIMEN,0
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calicotyle urolophi,-43.15,147.35,1000,PRESERVED_SPECIMEN,NA
Calliobothrium tylotocephalum,36,138,NA,PRESERVED_SPECIMEN,NA
Calliobothrium verticillatum,40.9,14.4,NA,PRESERVED_SPECIMEN,NA
Calliobothrium verticillatum,45.6486,13.78,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,23,-102,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
Callitetrarhynchus gracilis,-23.45,151.92,1000,PRESERVED_SPECIMEN,NA
